learner_id,department,region,role_family,employee_band,training_type,enrolment_date,prior_python_score,course_minutes,engagement_score,manager_support_score,support_tickets_last_30d,completion_days,completed_on_time,enrolment_date_parsed,enrolment_date_invalid_flag,prior_python_score_invalid_flag,engagement_score_invalid_flag,course_minutes_invalid_flag,manager_support_score_invalid_flag,support_tickets_last_30d_invalid_flag,completion_days_invalid_flag,prior_python_score_missing_flag,course_minutes_missing_flag,engagement_score_missing_flag,manager_support_score_missing_flag,support_tickets_last_30d_missing_flag,completion_days_missing_flag,department_missing_flag,region_missing_flag,role_family_missing_flag,employee_band_missing_flag,training_type_missing_flag,prior_python_score_zscore,course_minutes_zscore,engagement_score_zscore,support_tickets_last_30d_zscore,dept_customer support,dept_finance,dept_hr,dept_it,dept_operations,dept_sales,dept_unknown,region_birmingham,region_bristol,region_cardiff,region_edinburgh,region_leeds,region_london,region_manchester,region_remote,region_unknown,training_ai awareness,training_data literacy,training_ml foundations,training_python basics,training_responsible ai
L10088,sales,london,specialist,b,data literacy,2026-03-21,74.8,159.7,66.0,5.0,3.0,9.0,1,2026-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2804705016214486,0.5376915932593896,0.004327872832291611,0.6062415855161165,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10527,it,bristol,associate,b,ai awareness,2026-02-14,46.2,117.2,100.0,3.0,0.0,0.0,1,2026-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4005180541433552,-0.3181097492022196,1.9236453897615815,-1.5003894066248291,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
L10192,operations,manchester,coordinator,a,responsible ai,2026-02-05,50.5,183.6,66.5,3.0,2.0,10.0,1,2026-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14778201254235332,1.0189539952554478,0.03255313043419293,-0.095968745197532,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
L10098,it,london,manager,d,ml foundations,2026-03-29,64.0,56.3,76.7,4.0,1.0,4.0,1,2026-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6456916064375366,-1.5444227316942671,0.6083483855129801,-0.7981790759111805,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
L10520,customer support,bristol,associate,b,responsible ai,2026-03-02,45.5,150.7,92.9,1.0,3.0,29.0,1,2026-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44166113068305335,0.3564630736792841,1.522846731814583,0.6062415855161165,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
L10002,customer support,unknown,technician,b,responsible ai,2026-02-12,48.6,57.8,33.2,2.0,3.0,17.0,0,2026-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594560774358193,-1.5142179784309162,-1.847249025852435,0.6062415855161165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L10062,sales,manchester,associate,c,python basics,2026-01-08,66.4,107.8,77.4,3.0,2.0,16.0,1,2026-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786753583145073,-0.5073928696525521,0.647863746155642,-0.095968745197532,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L10299,unknown,remote,specialist,d,python basics,2026-03-07,29.9,175.5,80.2,5.0,2.0,5.0,1,2026-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.3585639792820374,0.855848327633353,0.8059251887262893,-0.095968745197532,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
L10091,operations,remote,coordinator,b,python basics,2026-02-23,27.6,127.6,100.0,1.0,5.0,10.0,1,2026-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4937483736267594,-0.10869012657632003,1.9236453897615815,2.0106622469434137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
L10427,it,unknown,coordinator,d,python basics,14/02/2026,49.3,142.6,79.9,5.0,3.0,21.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2183130008961215,0.1933574060571892,0.7889900341651487,0.6062415855161165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
L10543,operations,leeds,technician,a,data literacy,2026-03-09,23.6,186.6,51.6,2.0,3.0,21.0,0,2026-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7288516681393193,1.0793635017821497,-0.8085595461024664,0.6062415855161165,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
L10396,finance,birmingham,associate,a,python basics,2026-01-25,46.1,179.7,92.1,3.0,1.0,13.0,1,2026-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4063956365061693,0.9404216367707353,1.4776863196515402,-0.7981790759111805,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
L10548,customer support,manchester,analyst,c,python basics,2026-02-10,55.3,84.4,58.7,1.0,2.0,13.0,0,2026-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1343419408727185,-0.9785870205608264,-0.4077608881554675,-0.095968745197532,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L10250,customer support,london,analyst,b,responsible ai,2026-03-07,53.5,241.9,20.1,3.0,5.0,6.0,0,2026-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028545458342066676,2.1929120720910205,-2.5867507750222494,2.0106622469434137,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L10060,finance,birmingham,technician,b,responsible ai,2026-01-24,58.2,157.4,25.1,2.0,1.0,18.0,0,2026-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30479182939432486,0.4913776382555852,-2.3044981990032363,-0.7981790759111805,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
L10251,hr,manchester,associate,b,ai awareness,2026-03-26,52.6,118.0,83.7,1.0,5.0,8.0,1,2026-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024352782923259243,-0.30200054746176586,1.0035019919395984,2.0106622469434137,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
L10032,finance,birmingham,specialist,d,python basics,2026-02-12,63.8,121.7,41.2,5.0,3.0,17.0,0,2026-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6339364417119085,-0.22749548941216682,-1.3956449042220138,0.6062415855161165,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
L10376,hr,london,coordinator,b,data literacy,2026-02-01,62.6,88.2,87.6,1.0,1.0,13.0,1,2026-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5634054533581407,-0.9020683122936708,1.2236590012344284,-0.7981790759111805,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10308,hr,edinburgh,coordinator,c,data literacy,2026-01-19,47.8,234.6,41.9,5.0,2.0,12.0,0,2026-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3064767363383315,2.045915606209379,-1.3561295435793521,-0.095968745197532,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
L10040,hr,london,technician,b,ai awareness,not recorded,37.3,92.6,100.0,2.0,2.0,29.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9236228844338015,-0.813467702721175,1.9236453897615815,-0.095968745197532,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L10380,sales,manchester,coordinator,b,python basics,2026-03-21,34.7,126.3,100.0,5.0,1.0,18.0,1,2026-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0764400258669653,-0.13486757940455743,1.9236453897615815,-0.7981790759111805,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L10271,it,manchester,coordinator,a,ml foundations,2026-04-03,69.6,180.0,92.4,1.0,0.0,13.0,1,2026-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9748362187551204,0.9464625874234057,1.4946214742126818,-1.5003894066248291,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
L10369,finance,leeds,coordinator,c,responsible ai,2026-03-10,75.6,158.6,74.4,3.0,2.0,8.0,1,2026-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3274911605239603,0.5155414408662657,0.4785122005442341,-0.095968745197532,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
L10346,finance,london,specialist,a,responsible ai,2026-01-20,56.6,166.9,19.5,3.0,1.0,1.0,0,2026-01-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.21075051158930078,0.6826744089234744,-2.620621084144531,-0.7981790759111805,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L10474,hr,unknown,analyst,a,responsible ai,2026-01-23,89.4,80.2,90.5,4.0,1.0,23.0,1,2026-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.138597526592293,-1.063160329698209,1.3873654953254564,-0.7981790759111805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L10538,operations,london,analyst,a,ai awareness,2026-01-21,13.0,131.2,66.5,3.0,4.0,22.0,0,2026-01-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.3518753985976035,-0.03619871874427793,0.03255313043419293,1.308451916229765,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L10482,it,remote,coordinator,c,ml foundations,2026-02-16,61.1,100.0,57.0,4.0,2.0,15.0,1,2026-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4752417179159308,-0.664457586621977,-0.5037267640019322,-0.095968745197532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
L10037,it,bristol,analyst,a,ml foundations,2026-03-31,3.2,238.7,66.5,1.0,3.0,20.0,1,2026-03-31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.927878470153375,2.128475265129205,0.03255313043419293,0.6062415855161165,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
L10212,operations,manchester,technician,a,data literacy,2026-01-12,72.8,139.6,76.1,5.0,2.0,20.0,1,2026-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1629188543651685,0.13294789953048736,0.5744780763906979,-0.095968745197532,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
L10231,operations,london,analyst,c,ml foundations,2026-02-26,42.2,126.1,59.4,2.0,3.0,10.0,1,2026-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6356213486559151,-0.13889487983967097,-0.3682455275128059,0.6062415855161165,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
L10065,hr,edinburgh,associate,b,data literacy,2026-03-03,82.0,117.0,95.2,2.0,1.0,13.0,1,2026-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7036564317440568,-0.32213704963733314,1.652682916783329,-0.7981790759111805,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
L10068,customer support,unknown,associate,c,data literacy,2026-03-08,22.7,64.0,84.7,4.0,0.0,10.0,1,2026-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.7817499094046454,-1.389371664942399,1.0599525071434013,-1.5003894066248291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
L10373,operations,leeds,technician,a,ml foundations,2026-01-24,72.7,179.0,66.5,4.0,1.0,11.0,1,2026-01-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1570412720023548,0.9263260852478384,0.03255313043419293,-0.7981790759111805,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
L10267,finance,london,technician,b,data literacy,2026-01-10,59.4,96.0,72.5,5.0,4.0,12.0,1,2026-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3753228177480926,-0.7450035953242461,0.3712562216570088,1.308451916229765,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10072,operations,manchester,associate,b,python basics,2026-02-21,75.7,121.6,44.7,3.0,1.0,11.0,0,2026-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333687428867749,-0.22950913962972372,-1.1980681010087044,-0.7981790759111805,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L10174,operations,london,specialist,a,data literacy,2026-03-12,79.2,87.1,85.4,5.0,0.0,22.0,1,2026-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539084125585265,-0.924218464686795,1.0994678677860632,-1.5003894066248291,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10181,operations,manchester,analyst,a,responsible ai,2026-02-23,53.4,52.5,37.3,1.0,4.0,13.0,0,2026-02-23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022667875979252593,-1.6209414399614228,-1.6158019135168444,1.308451916229765,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
L10211,customer support,manchester,analyst,c,python basics,2026-02-16,43.1,67.9,55.4,2.0,3.0,12.0,0,2026-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5827231073905893,-1.3108393064576866,-0.5940475883280165,0.6062415855161165,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L10556,it,cardiff,technician,a,ai awareness,2026-01-23,55.2,113.9,65.3,2.0,2.0,24.0,1,2026-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12846435850990484,-0.38456020638159155,-0.0351874878103704,-0.095968745197532,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
L10146,customer support,remote,analyst,a,ai awareness,22/01/2026,47.6,116.6,67.9,3.0,0.0,3.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31823190106395927,-0.33019165050756016,0.11158385171951696,-1.5003894066248291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
L10256,customer support,cardiff,manager,a,data literacy,2026-02-16,47.8,98.2,51.1,4.0,1.0,16.0,1,2026-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3064767363383315,-0.700703290537998,-0.8367848037043677,-0.7981790759111805,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
L10097,sales,bristol,analyst,c,python basics,2026-02-26,87.5,177.4,83.5,2.0,1.0,16.0,1,2026-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0269234616988268,0.8941076817669309,0.9922118888988378,-0.7981790759111805,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
L10421,finance,edinburgh,technician,c,ai awareness,2026-02-22,24.8,132.5,23.2,1.0,5.0,11.0,0,2026-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6583206797855514,-0.010021265916040236,-2.411754177890461,2.0106622469434137,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
L10368,it,cardiff,manager,b,python basics,2026-03-25,80.0,148.3,60.4,2.0,0.0,8.0,1,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5861047844877767,0.30813546845792306,-0.31179501230900325,-1.5003894066248291,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
L10391,sales,bristol,specialist,c,data literacy,2026-03-23,31.0,114.4,87.7,5.0,3.0,16.0,1,2026-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2939105732910834,-0.3744919552938079,1.2293040527548091,0.6062415855161165,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
L10598,operations,birmingham,manager,a,ai awareness,2026-01-21,37.3,70.8,70.5,3.0,2.0,20.0,0,2026-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9236228844338015,-1.2524434501485415,0.2583551912494035,-0.095968745197532,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
L10595,sales,london,associate,b,ml foundations,2026-03-03,50.0,175.0,54.4,3.0,2.0,10.0,1,2026-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17716992435642334,0.8457800765455693,-0.6504981035318191,-0.095968745197532,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
L10337,operations,manchester,specialist,c,ml foundations,2026-03-26,76.4,153.0,81.8,5.0,3.0,14.0,1,2026-03-26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3745118194264732,0.40277702868308907,0.8962460130523732,0.6062415855161165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
L10039,customer support,manchester,associate,a,data literacy,2026-03-18,49.8,123.3,87.4,3.0,3.0,12.0,1,2026-03-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1889250890820515,-0.19527708593125928,1.2123688981936684,0.6062415855161165,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
L10109,finance,leeds,technician,b,python basics,2026-03-30,19.1,58.3,62.3,3.0,3.0,6.0,0,2026-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9933428744659494,-1.5041497273431326,-0.20453903342177832,0.6062415855161165,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
L10055,hr,birmingham,analyst,d,ml foundations,2026-03-17,59.1,90.7,51.4,4.0,2.0,20.0,0,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35769007065965075,-0.8517270568547526,-0.819849649143227,-0.095968745197532,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
L10050,it,leeds,coordinator,a,data literacy,2026-01-25,61.6,92.8,83.3,2.0,1.0,21.0,1,2026-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5046296297300008,-0.8094404022860614,0.9809217858580772,-0.7981790759111805,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
L10503,hr,remote,coordinator,a,ai awareness,2026-03-14,47.7,57.2,54.1,1.0,1.0,9.0,0,2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31235431870114516,-1.5262998797362566,-0.6674332580929597,-0.7981790759111805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
L10077,operations,remote,associate,a,responsible ai,2026-01-23,45.2,191.1,78.2,5.0,0.0,19.0,1,2026-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45929387777149516,1.1699777615722025,0.693024158318684,-1.5003894066248291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
L10343,operations,manchester,associate,b,ai awareness,2026-02-22,53.4,238.6,60.4,3.0,1.0,20.0,1,2026-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022667875979252593,2.126461614911648,-0.31179501230900325,-0.7981790759111805,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
L10159,finance,remote,associate,b,data literacy,2026-03-07,2.6,57.7,60.7,3.0,2.0,20.0,1,2026-03-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9631439643302593,-1.516231628648473,-0.2948598577478622,-0.095968745197532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
L10317,unknown,manchester,coordinator,d,data literacy,2026-03-18,53.4,123.6,80.0,3.0,3.0,16.0,1,2026-03-18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.022667875979252593,-0.18923613527858915,0.7946350856855287,0.6062415855161165,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
L10094,sales,unknown,manager,c,ml foundations,2026-03-06,55.3,108.0,68.6,5.0,1.0,14.0,1,2026-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1343419408727185,-0.5033655692174387,0.15109921236217816,-0.7981790759111805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
L10017,finance,manchester,technician,d,data literacy,2026-03-11,87.9,237.6,88.0,3.0,1.0,13.0,1,2026-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.050433791150083,2.106325112736081,1.2462392073159498,-0.7981790759111805,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
L10165,operations,bristol,coordinator,c,ai awareness,2026-03-27,64.8,132.1,73.7,1.0,1.0,19.0,1,2026-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6927122653400485,-0.018075866786267263,0.4389968399015721,-0.7981790759111805,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
L10228,hr,london,coordinator,a,data literacy,2026-01-25,57.2,58.1,100.0,1.0,0.0,19.0,1,2026-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24601600576618485,-1.5081770277782462,1.9236453897615815,-1.5003894066248291,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10476,it,unknown,coordinator,b,python basics,2026-03-28,77.1,172.7,62.5,5.0,3.0,9.0,1,2026-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4156548959661703,0.7994661215417643,-0.19324893038101765,0.6062415855161165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
L10116,operations,remote,coordinator,b,ai awareness,2026-03-01,34.6,118.0,59.4,1.0,3.0,13.0,0,2026-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0823176082297792,-0.30200054746176586,-0.3682455275128059,0.6062415855161165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
