customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned
CUST-1019,2021-01-02,2024-12-26,Midlands,Healthcare,Enterprise,Monthly,Self-serve,344.04,47,390.6,19,3,1,9.0,7,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1020,2020-11-25,2024-12-21,Wales,Healthcare,Standard,Annual,Self-serve,95.85,49,270.0,11,0,0,7.4,2,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1021,2021-06-05,2024-12-16,Midlands,Professional Services,Premium,Annual,Self-serve,170.29,42,375.0,19,0,0,7.5,1,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1022,2022-08-15,2024-12-30,South East,Professional Services,Standard,Annual,Renewal upgrade,84.41,28,122.4,3,1,1,7.6,9,Low usage noted in recent month; customer did not attend webinar.,price,2025-03-15,success_call,1
CUST-1023,2021-08-06,2024-12-27,South West,Technology,Basic,Annual,Sales-led,32.04,40,64.1,6,5,0,10.0,7,Customer happy with product but needs integration advice.,,,,0
CUST-1024,2021-04-23,2024-12-26,South West,Professional Services,Standard,Monthly,Renewal upgrade,70.92,44,96.3,3,7,2,6.6,5,Manager requested renewal details and training resources.,business_closed,2025-02-06,none,1
CUST-1025,2022-01-25,2024-12-30,Midlands,Education,Standard,Annual,Self-serve,86.32,35,109.9,1,1,0,7.9,10,Manager requested renewal details and training resources.,,,,0
CUST-1026,2022-06-16,2024-12-28,London,Education,Premium,Monthly,Self-serve,186.53,30,120.7,3,0,1,,11,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1027,2020-01-23,2024-12-30,North West,Retail,Standard,Annual,Renewal upgrade,79.82,59,158.8,2,1,0,5.3,10,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1028,2023-07-23,2024-12-14,London,Healthcare,Basic,Annual,Sales-led,32.58,17,118.6,13,1,0,6.0,12,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1029,2023-08-30,2024-12-23,London,Public Sector,Premium,Monthly,Renewal upgrade,200.49,16,218.1,8,3,1,3.5,9,Customer happy with product but needs integration advice.,competitor,2025-02-12,none,1
CUST-1030,2022-05-29,2024-12-27,Wales,Public Sector,Basic,Annual,Self-serve,41.36,31,103.8,7,0,0,10.0,5,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1031,2022-04-18,2024-12-05,Midlands,Retail,Enterprise,Monthly,Partner,352.85,32,,5,0,1,10.0,2,Manager requested renewal details and training resources.,,,,0
CUST-1032,2022-10-11,2024-12-29,South West,Retail,Basic,Annual,Sales-led,56.71,26,146.7,2,3,0,7.9,11,Manager requested renewal details and training resources.,,,,0
CUST-1033,2021-10-05,2024-12-28,South East,Retail,Basic,Annual,Self-serve,56.95,38,268.3,10,1,0,8.5,11,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1034,2021-06-17,2024-12-13,South East,Education,Standard,Monthly,Partner,80.73,42,150.2,10,2,3,4.2,1,Customer happy with product but needs integration advice.,competitor,2025-01-25,success_call,1
CUST-1035,2021-05-29,2024-12-31,North West,Manufacturing,Standard,Annual,Self-serve,96.23,43,212.3,6,2,0,7.5,5,Multiple support contacts; wants faster response time.,,,,0
CUST-1036,2020-08-21,2024-12-13,London,Retail,Standard,Annual,Sales-led,79.58,52,230.1,6,1,1,10.0,3,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1037,2023-05-13,2024-12-28,London,Retail,Standard,Monthly,Sales-led,128.36,19,111.7,5,1,1,7.5,6,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-20,success_call,1
CUST-1038,2021-04-13,2024-12-28,North West,Technology,Enterprise,Monthly,Renewal upgrade,329.86,44,213.2,11,4,1,6.2,1,Healthy adoption in team; users asked for reporting improvements.,support,2025-02-26,discount,1
CUST-1039,2021-02-19,2024-12-28,South East,Professional Services,Standard,Monthly,Sales-led,86.43,46,130.1,12,2,0,4.9,8,Multiple support contacts; wants faster response time.,,,,0
CUST-1040,2023-11-08,2024-12-29,Wales,Healthcare,Standard,Annual,Partner,86.51,13,341.1,15,3,3,9.1,7,Manager requested renewal details and training resources.,,,,0
CUST-1041,2022-01-09,2024-12-27,North West,Manufacturing,Standard,Monthly,Renewal upgrade,81.04,35,282.7,14,2,0,8.0,6,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1042,2022-06-26,2024-12-23,Northern Ireland,Professional Services,Basic,Annual,Sales-led,65.23,30,106.9,7,2,0,4.8,7,,,,,0
CUST-1043,2020-12-24,2024-12-28,Midlands,Professional Services,Standard,Annual,Sales-led,128.07,48,210.2,4,1,0,6.7,1,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1044,2021-02-09,2024-12-14,South East,Professional Services,Basic,Monthly,Partner,43.29,46,189.8,4,2,1,5.5,10,Manager requested renewal details and training resources.,,,,0
CUST-1045,2022-11-29,2024-12-29,Northern Ireland,Technology,Standard,Monthly,Sales-led,83.15,25,220.5,4,2,0,7.7,7,Customer happy with product but needs integration advice.,,,,0
CUST-1046,2021-10-20,2024-12-26,Midlands,Professional Services,Basic,Annual,Self-serve,22.16,38,201.8,3,0,0,8.6,2,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1047,2020-08-03,2024-12-31,North West,Retail,Enterprise,Annual,Partner,346.07,52,175.3,10,1,0,7.2,9,,,,,0
CUST-1048,2023-05-04,2024-12-21,South East,Professional Services,Standard,Monthly,Self-serve,95.2,19,402.7,17,4,2,8.6,3,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1049,2021-08-11,2024-12-25,Wales,Professional Services,Premium,Monthly,Self-serve,171.18,40,156.1,7,2,0,,10,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1050,2022-09-02,2024-12-19,London,Manufacturing,Standard,Monthly,Partner,101.66,27,133.7,0,3,0,8.9,12,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1051,2021-05-13,2024-12-30,London,Retail,Basic,Annual,Self-serve,53.74,43,77.9,11,2,0,6.8,11,Low usage noted in recent month; customer did not attend webinar.,competitor,2025-03-12,discount,1
CUST-1052,2022-03-29,2024-12-31,London,Education,Premium,Monthly,Sales-led,182.88,33,198.6,4,4,2,10.0,12,Customer mentioned price sensitivity and asked about lower plan options.,low_usage,2025-01-04,none,1
CUST-1053,2023-02-06,2024-12-17,Midlands,Education,Standard,Annual,Self-serve,95.21,22,376.4,23,3,1,7.1,2,Manager requested renewal details and training resources.,,,,0
CUST-1054,2023-07-16,2024-12-27,Wales,Public Sector,Premium,Monthly,Renewal upgrade,165.78,17,252.3,4,1,0,6.9,3,Multiple support contacts; wants faster response time.,low_usage,2025-02-28,none,1
CUST-1055,2020-10-29,2024-12-07,Midlands,Professional Services,Standard,Annual,Self-serve,106.99,50,208.1,5,5,0,5.5,10,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1056,2022-09-08,2024-12-19,Midlands,Public Sector,Standard,Monthly,Self-serve,99.15,27,272.5,2,2,0,7.8,5,,,,,0
CUST-1057,2023-08-28,2024-12-30,North West,Manufacturing,Premium,Monthly,Sales-led,189.66,16,369.3,16,0,0,6.4,7,Manager requested renewal details and training resources.,,,,0
CUST-1058,2022-07-27,2024-12-30,Scotland,Professional Services,Standard,Annual,Sales-led,108.48,29,326.9,9,1,2,8.3,10,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1059,2020-07-27,2024-12-20,London,Public Sector,Standard,Annual,Sales-led,81.94,53,71.1,0,1,0,4.7,8,Customer happy with product but needs integration advice.,,,,0
CUST-1060,2020-10-04,2024-12-18,London,Public Sector,Premium,Monthly,Sales-led,161.79,50,314.8,7,1,0,8.8,7,Customer happy with product but needs integration advice.,,,,0
CUST-1061,2020-10-23,2024-12-20,Wales,Retail,Premium,Monthly,Renewal upgrade,169.93,50,272.6,14,3,1,5.5,10,,,,,0
CUST-1062,2020-06-04,2024-12-21,North West,Technology,Enterprise,Monthly,Sales-led,336.32,54,164.3,9,7,1,,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1063,2023-01-05,2024-12-10,Scotland,Healthcare,Standard,Monthly,Partner,108.06,23,237.5,17,2,2,8.2,6,Support issue around onboarding and admin setup.,,,,0
CUST-1064,2023-11-10,2024-12-12,Midlands,Manufacturing,Standard,Monthly,Sales-led,103.22,13,325.4,10,0,1,10.0,5,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1065,2022-01-24,2024-12-26,Wales,Technology,Premium,Annual,Sales-led,192.19,35,185.0,8,4,0,5.6,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1066,2022-05-24,2024-12-19,Scotland,Healthcare,Standard,Monthly,Self-serve,103.76,31,292.3,7,3,0,,10,Customer happy with product but needs integration advice.,,,,0
CUST-1067,2023-02-03,2024-12-24,Scotland,Public Sector,Premium,Annual,Sales-led,181.5,22,295.3,10,1,0,7.3,11,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1068,2021-08-29,2024-12-30,South East,Retail,Standard,Monthly,Partner,113.4,40,27.3,0,2,1,5.5,10,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-31,none,1
CUST-1069,2021-11-20,2024-12-09,London,Public Sector,Basic,Monthly,Renewal upgrade,54.64,37,139.9,7,0,1,6.6,5,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-02-19,none,1
CUST-1070,2022-05-09,2024-12-30,North West,Manufacturing,Premium,Annual,Renewal upgrade,179.82,31,289.5,16,2,0,9.4,9,Multiple support contacts; wants faster response time.,,,,0
CUST-1071,2021-03-20,2024-12-17,London,Retail,Basic,Monthly,Sales-led,66.77,45,120.9,9,3,0,6.5,9,Customer mentioned price sensitivity and asked about lower plan options.,competitor,2025-03-28,discount,1
CUST-1072,2020-03-31,2024-12-30,North West,Healthcare,Basic,Annual,Partner,50.38,57,196.2,4,3,0,10.0,1,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1073,2022-04-08,2024-12-29,Northern Ireland,Retail,Standard,Monthly,Sales-led,95.35,32,176.4,11,5,1,7.2,3,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-17,success_call,1
CUST-1074,2023-04-15,2024-12-17,South East,Professional Services,Premium,Annual,Renewal upgrade,168.95,20,685.5,27,4,0,7.7,9,,,,,0
CUST-1075,2020-04-16,2024-12-28,London,Professional Services,Premium,Annual,Self-serve,187.44,56,206.8,7,1,0,7.5,2,Multiple support contacts; wants faster response time.,,,,0
CUST-1076,2020-11-12,2024-12-26,South East,Healthcare,Basic,Annual,Sales-led,63.84,49,107.3,1,4,0,5.7,8,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1077,2021-01-18,2024-12-24,South East,Professional Services,Basic,Monthly,Sales-led,48.39,47,213.8,6,1,1,9.0,1,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1078,2023-03-20,2024-11-27,Wales,Professional Services,Enterprise,Monthly,Sales-led,364.69,21,223.8,16,1,1,5.3,12,Customer happy with product but needs integration advice.,price,2025-01-20,success_call,1
CUST-1079,2022-01-06,2024-12-30,Scotland,Public Sector,Basic,Monthly,Sales-led,25.36,35,136.0,7,3,0,5.3,8,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1080,2022-02-19,2024-12-29,Midlands,Manufacturing,Basic,Annual,Renewal upgrade,48.33,34,150.6,7,1,0,7.0,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1081,2022-07-31,2024-12-25,Wales,Public Sector,Standard,Monthly,Partner,98.52,29,277.3,10,2,0,9.1,11,Manager requested renewal details and training resources.,,,,0
CUST-1082,2021-02-07,2024-12-29,North West,Retail,Standard,Monthly,Renewal upgrade,90.28,46,104.5,14,1,1,9.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1083,2022-11-07,2024-12-28,Midlands,Technology,Premium,Monthly,Sales-led,207.61,25,335.8,19,2,1,10.0,8,,,,,0
CUST-1084,2020-02-14,2024-12-31,London,Education,Premium,Monthly,Self-serve,178.21,58,283.7,8,0,0,9.4,10,Manager requested renewal details and training resources.,,,,0
CUST-1085,2020-06-15,2024-12-30,London,Professional Services,Premium,Monthly,Sales-led,174.11,54,496.1,19,1,2,8.4,8,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1086,2023-04-06,2024-12-22,London,Professional Services,Basic,Monthly,Self-serve,49.31,20,156.7,5,1,1,8.7,11,Multiple support contacts; wants faster response time.,,,,0
CUST-1087,2022-08-18,2024-12-19,Midlands,Manufacturing,Standard,Monthly,Sales-led,74.97,28,108.8,5,2,0,5.7,5,Customer happy with product but needs integration advice.,,,,0
CUST-1088,2020-09-14,2024-12-27,North West,Professional Services,Standard,Annual,Sales-led,89.88,51,243.2,7,4,0,4.7,12,Support issue around onboarding and admin setup.,,,,0
CUST-1089,2021-10-02,2024-12-27,London,Education,Basic,Monthly,Self-serve,60.8,38,167.5,8,3,1,7.7,8,Support issue around onboarding and admin setup.,,,,0
CUST-1090,2020-03-16,2024-12-31,North West,Technology,Basic,Monthly,Sales-led,41.45,57,254.5,16,1,2,6.1,2,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1091,2022-09-07,2024-12-15,London,Professional Services,Standard,Annual,Self-serve,89.05,27,125.8,0,4,0,6.9,4,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1092,2023-01-08,2024-12-18,Wales,Professional Services,Basic,Annual,Self-serve,64.71,23,67.2,0,0,0,7.9,1,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1093,2021-02-10,2024-12-08,North West,Technology,Standard,Monthly,Sales-led,115.08,46,212.3,7,4,0,7.7,1,Invoice query raised; finance contact requested clarification.,low_usage,2025-01-20,discount,1
CUST-1094,2021-05-26,2024-12-19,North West,Education,Premium,Annual,Renewal upgrade,185.2,43,586.8,22,1,0,10.0,11,,,,,0
CUST-1095,2020-12-11,2024-12-30,South East,Professional Services,Basic,Annual,Self-serve,43.54,48,229.9,17,2,0,9.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1096,2021-07-22,2024-12-11,Wales,Technology,Standard,Annual,Partner,96.13,41,315.4,17,1,0,8.8,7,Support issue around onboarding and admin setup.,,,,0
CUST-1097,2021-02-01,2024-12-23,South East,Technology,Premium,Annual,Self-serve,169.35,46,117.7,8,1,0,7.1,4,Support issue around onboarding and admin setup.,,,,0
CUST-1098,2020-12-26,2024-12-07,London,Education,Premium,Annual,Partner,167.06,48,259.3,9,1,0,8.4,12,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1099,2021-09-20,2024-12-26,London,Manufacturing,Premium,Monthly,Partner,166.47,39,393.8,15,0,2,7.5,10,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1100,2023-06-08,2024-12-30,South West,Retail,Standard,Monthly,Renewal upgrade,91.58,18,224.7,3,0,1,7.8,12,Multiple support contacts; wants faster response time.,competitor,2025-03-19,discount,1
CUST-1101,2023-01-18,2024-12-26,South West,Professional Services,Premium,Annual,Self-serve,166.58,23,98.8,7,1,0,10.0,1,Multiple support contacts; wants faster response time.,,,,0
CUST-1102,2021-03-10,2024-12-22,Wales,Education,Basic,Annual,Sales-led,30.24,45,167.4,9,2,1,7.6,12,Support issue around onboarding and admin setup.,,,,0
CUST-1103,2023-10-08,2024-12-26,South East,Retail,Standard,Monthly,Sales-led,101.63,14,255.6,15,1,0,8.9,2,Manager requested renewal details and training resources.,,,,0
CUST-1104,2020-11-02,2024-12-26,South West,Manufacturing,Basic,Monthly,Self-serve,51.82,49,13.9,0,2,1,5.6,7,Manager requested renewal details and training resources.,low_usage,2025-01-08,discount,1
CUST-1105,2023-08-22,2024-12-17,Midlands,Public Sector,Standard,Annual,Sales-led,119.41,16,210.9,8,4,0,8.9,11,Customer mentioned price sensitivity and asked about lower plan options.,low_usage,2025-02-05,success_call,1
CUST-1106,2021-03-27,2024-12-01,Midlands,Professional Services,Standard,Monthly,Sales-led,90.98,45,116.3,5,5,0,7.9,6,Multiple support contacts; wants faster response time.,,,,0
CUST-1107,2022-02-27,2024-12-26,North West,Education,Basic,Annual,Sales-led,52.55,34,251.3,14,3,0,8.9,1,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1108,2020-10-23,2024-12-07,South East,Retail,Premium,Monthly,Self-serve,182.75,50,174.8,1,3,0,7.8,11,Support issue around onboarding and admin setup.,price,2025-01-01,none,1
CUST-1109,2023-01-17,2024-12-22,London,Technology,Standard,Annual,Sales-led,95.95,23,272.6,14,3,0,9.4,1,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1110,2021-04-08,2024-12-21,South West,Retail,Basic,Annual,Self-serve,57.93,44,165.1,7,3,1,9.0,10,,,,,0
CUST-1111,2023-06-27,2024-12-29,North West,Manufacturing,Basic,Annual,Partner,58.3,18,129.4,1,1,0,8.2,7,Healthy adoption in team; users asked for reporting improvements.,price,2025-01-30,none,1
CUST-1112,2020-05-01,2024-12-25,London,Education,Standard,Annual,Partner,102.93,56,538.7,13,3,1,8.4,3,Support issue around onboarding and admin setup.,,,,0
CUST-1113,2022-01-02,2024-12-28,South East,Healthcare,Standard,Annual,Sales-led,95.93,35,162.3,6,2,0,9.0,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1114,2020-08-19,2024-12-27,Scotland,Manufacturing,Standard,Annual,Self-serve,94.71,52,229.7,15,3,0,6.3,12,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1115,2023-07-21,2024-12-31,London,Public Sector,Basic,Annual,Self-serve,32.59,17,164.9,13,4,0,6.1,10,Customer happy with product but needs integration advice.,,,,0
CUST-1116,2021-08-31,2024-12-25,Northern Ireland,Education,Premium,Monthly,Self-serve,169.33,40,241.1,11,1,1,7.8,6,Multiple support contacts; wants faster response time.,,,,0
CUST-1117,2022-09-11,2024-12-27,Midlands,Public Sector,Enterprise,Annual,Self-serve,341.54,27,700.5,30,5,0,6.4,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1118,2023-07-08,2024-12-26,Midlands,Technology,Standard,Monthly,Sales-led,85.51,17,255.7,10,1,1,9.2,3,Customer happy with product but needs integration advice.,support,2025-03-30,none,1
CUST-1119,2022-02-21,2024-12-29,North West,Healthcare,Standard,Annual,Renewal upgrade,104.28,34,171.6,11,2,0,6.2,3,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1120,2020-03-24,2024-12-31,Wales,Education,Premium,Annual,Sales-led,193.36,57,505.3,18,2,1,8.0,12,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1121,2020-11-18,2024-12-23,Scotland,Professional Services,Enterprise,Monthly,Partner,338.1,49,375.1,13,6,1,6.8,8,Multiple support contacts; wants faster response time.,,,,0
CUST-1122,2020-11-06,2024-12-31,Wales,Public Sector,Standard,Monthly,Self-serve,102.4,49,149.8,3,1,1,7.6,3,Manager requested renewal details and training resources.,,,,0
CUST-1123,2023-08-27,2024-12-30,London,Education,Premium,Monthly,Sales-led,166.59,16,403.5,8,1,0,8.3,7,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1124,2023-08-19,2024-12-27,North West,Healthcare,Enterprise,Annual,Partner,345.34,16,137.2,11,3,0,7.2,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1125,2021-11-27,2024-12-24,London,Professional Services,Premium,Monthly,Sales-led,170.72,37,117.4,2,2,1,7.0,8,Manager requested renewal details and training resources.,,,,0
CUST-1126,2023-07-23,2024-12-29,North West,Technology,Standard,Monthly,Partner,106.22,17,71.2,0,4,0,6.1,10,Healthy adoption in team; users asked for reporting improvements.,low_usage,2025-01-28,none,1
CUST-1127,2020-12-25,2024-12-31,South East,Healthcare,Basic,Annual,Self-serve,40.85,48,45.5,0,0,0,,12,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1128,2022-09-18,2024-12-26,London,Manufacturing,Basic,Annual,Sales-led,61.14,27,294.0,11,3,0,9.5,12,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1129,2021-07-26,2024-12-09,London,Professional Services,Standard,Monthly,Sales-led,96.05,41,211.0,15,3,0,4.4,3,Support issue around onboarding and admin setup.,business_closed,2025-02-17,success_call,1
CUST-1130,2020-12-17,2024-12-24,Scotland,Technology,Standard,Monthly,Partner,91.2,48,75.3,11,2,0,7.0,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1131,2020-12-31,2024-12-26,London,Professional Services,Standard,Annual,Sales-led,83.96,47,216.9,2,4,0,6.7,1,Manager requested renewal details and training resources.,,,,0
CUST-1132,2021-09-04,2024-12-30,South West,Retail,Standard,Annual,Renewal upgrade,102.04,39,343.7,12,2,2,8.3,11,Customer happy with product but needs integration advice.,,,,0
CUST-1133,2021-05-10,2024-12-23,Scotland,Public Sector,Standard,Annual,Partner,109.74,43,146.9,2,2,0,5.4,5,Support issue around onboarding and admin setup.,,,,0
CUST-1134,2020-11-04,2024-12-31,South East,Technology,Premium,Monthly,Partner,182.28,49,185.4,11,2,1,6.6,2,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1135,2021-05-02,2024-12-16,Scotland,Retail,Basic,Monthly,Sales-led,75.87,43,357.2,15,1,1,8.2,4,Low usage noted in recent month; customer did not attend webinar.,competitor,2025-01-26,discount,1
CUST-1136,2020-07-06,2024-11-30,London,Healthcare,Basic,Monthly,Partner,66.16,53,126.8,3,0,0,9.6,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1137,2023-11-16,2024-12-15,South West,Public Sector,Premium,Annual,Renewal upgrade,175.31,13,105.4,5,0,0,8.4,1,Customer happy with product but needs integration advice.,,,,0
CUST-1138,2021-07-08,2024-12-31,North West,Technology,Premium,Monthly,Sales-led,175.18,41,164.9,5,2,0,5.9,1,Manager requested renewal details and training resources.,support,2025-01-09,success_call,1
CUST-1139,2020-06-05,2024-12-24,Midlands,Healthcare,Enterprise,Monthly,Sales-led,354.64,54,97.4,10,3,1,6.1,12,Manager requested renewal details and training resources.,,,,0
CUST-1140,2022-04-20,2024-12-14,London,Education,Premium,Annual,Sales-led,168.94,32,354.6,16,2,0,9.7,8,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1141,2023-07-13,2024-12-15,North West,Public Sector,Premium,Annual,Self-serve,193.0,17,155.8,9,3,0,5.6,3,Support issue around onboarding and admin setup.,business_closed,2025-02-13,none,1
CUST-1142,2021-06-09,2024-12-31,North West,Public Sector,Standard,Annual,Partner,103.34,42,133.1,0,0,0,7.9,5,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1143,2023-05-19,2024-12-23,South West,Public Sector,Standard,Monthly,Self-serve,102.08,19,497.9,20,4,1,8.1,4,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1144,2022-06-10,2024-12-10,Scotland,Education,Basic,Monthly,Self-serve,57.24,30,71.7,11,4,0,6.2,1,Healthy adoption in team; users asked for reporting improvements.,low_usage,2025-01-01,discount,1
CUST-1145,2022-12-15,2024-12-22,North West,Professional Services,Standard,Monthly,Sales-led,119.67,24,85.7,9,0,1,10.0,11,Customer happy with product but needs integration advice.,,,,0
CUST-1146,2021-03-08,2024-12-06,South East,Technology,Enterprise,Monthly,Sales-led,351.05,45,142.0,0,4,1,6.1,3,Support issue around onboarding and admin setup.,business_closed,2025-01-24,success_call,1
CUST-1147,2020-02-23,2024-12-20,South East,Technology,Standard,Annual,Sales-led,97.64,58,349.0,13,1,0,9.3,4,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1148,2021-05-19,2024-12-18,Scotland,Public Sector,Standard,Monthly,Renewal upgrade,117.1,43,248.8,5,1,1,6.7,1,Low usage noted in recent month; customer did not attend webinar.,support,2025-03-18,discount,1
