request_id,request_channel,service_area,request_type,customer_segment,priority_at_submission,request_age_hours_at_triage,previous_tickets_90d,open_items_for_team,staff_available,attachments_count,has_clear_description,historical_team_delay_rate,requester_tenure_months,day_of_week,sla_breach_risk,post_resolution_hours_DO_NOT_USE,final_status_DO_NOT_USE
REQ-10024,Phone,Facilities,Procurement,Key client,Low,2.0,0,50,10,0,0,0.502,33.0,Thu,1,56.2,Escalated late
REQ-10025,Chat,IT,Access,Key client,Standard,52.2,1,48,7,1,1,0.112,,Fri,0,33.0,Resolved on time
REQ-10026,Portal,Finance,Payroll,Key client,Low,12.3,0,21,10,0,1,0.433,11.0,Mon,0,36.9,Resolved on time
REQ-10027,Email,IT,System issue,Partner,Urgent,26.9,3,50,5,0,1,0.395,44.0,Tue,0,43.3,Resolved on time
REQ-10028,Portal,IT,Access,Internal,Urgent,11.5,1,51,5,1,1,0.519,21.0,Mon,1,47.9,Escalated late
REQ-10029,Portal,Facilities,Payroll,External supplier,Standard,18.5,1,59,5,2,1,0.494,54.0,Mon,1,52.3,Escalated late
REQ-10030,Portal,Facilities,Policy query,Internal,Standard,13.5,1,72,8,0,0,0.216,12.0,Thu,1,72.0,Resolved late
REQ-10031,Portal,Data,Access,Partner,Standard,15.5,1,18,10,2,1,0.361,,Mon,0,35.5,Resolved on time
REQ-10032,Chat,HR,System issue,Internal,Urgent,32.4,0,37,6,2,1,0.403,22.0,Tue,1,70.0,Escalated late
REQ-10033,Portal,HR,Hardware,Internal,Low,42.7,0,32,7,1,0,0.515,,Fri,0,76.9,Resolved on time
REQ-10034,Email,Finance,System issue,Internal,Low,40.6,0,44,7,0,1,0.072,14.0,Thu,1,64.8,Resolved late
REQ-10035,Portal,IT,System issue,Internal,Standard,72.0,4,42,9,1,1,0.137,36.0,Thu,1,49.1,Escalated late
REQ-10036,Portal,IT,System issue,Internal,Standard,8.6,0,39,7,0,1,0.206,50.0,Mon,1,59.3,Resolved late
REQ-10037,Email,Finance,Hardware,Internal,Standard,19.7,1,56,6,0,1,0.269,42.0,Fri,1,50.1,Resolved late
REQ-10038,Email,IT,Procurement,Internal,Low,8.8,2,27,5,2,1,0.584,42.0,Mon,0,25.0,Resolved on time
REQ-10039,Phone,Facilities,System issue,Internal,Standard,31.6,1,27,6,2,1,0.372,17.0,Thu,1,69.1,Resolved late
REQ-10040,Email,HR,Hardware,Partner,Low,6.7,1,28,10,1,1,0.263,16.0,Thu,0,24.2,Resolved on time
REQ-10041,Chat,Data,Hardware,External supplier,Low,32.8,0,37,8,2,1,0.353,41.0,Wed,0,40.3,Resolved on time
REQ-10042,Email,Facilities,Access,Key client,Low,17.3,0,25,6,2,1,0.384,38.0,Fri,1,87.0,Resolved late
REQ-10043,Email,HR,Policy query,Internal,Standard,14.1,3,41,10,3,0,0.315,20.0,Fri,0,48.8,Resolved on time
REQ-10044,Phone,Data,System issue,Internal,Urgent,15.3,0,40,6,0,0,0.445,19.0,Mon,0,26.3,Auto closed
REQ-10045,Chat,Facilities,Data report,External supplier,Standard,5.7,1,31,10,3,1,0.207,34.0,Fri,0,30.1,Resolved on time
REQ-10046,Email,HR,System issue,Internal,Standard,6.2,0,54,10,0,0,0.45,29.0,Tue,1,75.5,Resolved late
REQ-10047,Email,HR,Procurement,Internal,Standard,17.5,1,41,8,0,0,0.092,86.0,Thu,1,72.9,Resolved late
REQ-10048,Email,Facilities,Procurement,External supplier,Standard,17.4,0,57,5,1,1,0.21,,Fri,1,53.2,Resolved late
REQ-10049,Portal,IT,Procurement,External supplier,Standard,9.1,2,39,12,2,1,0.657,53.0,Wed,1,55.0,Resolved late
REQ-10050,Portal,IT,Data report,Internal,Standard,12.2,2,42,8,1,1,0.463,71.0,Fri,0,58.0,Resolved on time
REQ-10051,Email,IT,Hardware,Key client,Standard,20.9,0,34,7,0,1,0.498,25.0,Fri,0,30.2,Resolved on time
REQ-10052,Email,Facilities,System issue,Internal,Low,7.9,3,42,9,1,1,0.386,27.0,Wed,1,50.6,Resolved late
REQ-10053,Portal,Facilities,System issue,Partner,Low,2.9,0,52,9,0,1,0.427,62.0,Mon,1,85.9,Resolved late
REQ-10054,Chat,Facilities,Payroll,Internal,Urgent,38.3,2,36,10,0,0,0.506,36.0,Wed,0,66.8,Resolved on time
REQ-10055,Portal,Facilities,Data report,Internal,Standard,18.4,1,49,6,0,1,0.281,37.0,Fri,0,46.3,Resolved on time
REQ-10056,Portal,Finance,Access,Key client,Urgent,10.4,5,31,8,2,1,0.203,18.0,Tue,0,31.0,Resolved on time
REQ-10057,Email,Finance,Policy query,,Urgent,8.7,1,53,5,1,0,0.185,61.0,Fri,0,30.0,Resolved on time
REQ-10058,Email,IT,Policy query,Key client,Low,7.8,0,34,9,1,0,0.425,47.0,Mon,0,30.4,Resolved on time
REQ-10059,Email,IT,Policy query,Internal,Standard,31.5,1,54,7,1,0,0.097,31.0,Thu,1,80.4,Resolved late
REQ-10060,Phone,Facilities,Payroll,External supplier,Standard,4.9,3,43,8,1,1,0.391,27.0,Thu,0,65.0,Resolved on time
REQ-10061,Chat,Finance,Access,Partner,Standard,19.7,0,63,7,1,1,0.536,66.0,Mon,1,50.9,Resolved late
REQ-10062,Chat,Finance,Hardware,Internal,Low,19.7,1,26,7,1,1,0.18,25.0,Wed,0,49.1,Resolved on time
REQ-10063,Chat,Facilities,Access,Partner,Standard,25.0,0,21,6,2,1,0.213,15.0,Mon,0,21.9,Resolved on time
REQ-10064,Chat,Facilities,Access,Internal,Standard,11.2,2,33,9,0,1,0.375,68.0,Tue,0,23.0,Resolved on time
REQ-10065,Chat,Finance,Access,Internal,Standard,36.2,0,23,10,1,0,0.133,68.0,Fri,0,32.6,Resolved on time
REQ-10066,Email,Finance,Policy query,Internal,Standard,25.5,1,23,6,1,1,,25.0,Mon,0,28.9,Resolved on time
REQ-10067,Email,HR,Access,Partner,Standard,10.9,0,51,9,1,1,0.387,94.0,Fri,0,28.4,Resolved on time
REQ-10068,Email,IT,Access,Partner,Standard,8.4,1,42,8,0,1,0.272,34.0,Thu,1,76.0,Resolved late
REQ-10069,Portal,HR,System issue,External supplier,Urgent,13.6,1,35,8,1,1,0.409,25.0,Thu,0,22.9,Resolved on time
REQ-10070,Email,IT,Data report,External supplier,Standard,10.6,1,37,4,0,1,0.509,47.0,Tue,0,35.7,Resolved on time
REQ-10071,Chat,HR,System issue,External supplier,Standard,7.3,1,34,5,3,1,0.154,17.0,Fri,0,32.7,Auto closed
REQ-10072,Portal,Data,Data report,Internal,Standard,15.8,1,65,6,2,1,0.423,21.0,Tue,1,59.4,Resolved late
REQ-10073,Portal,IT,System issue,External supplier,Standard,12.3,0,32,3,0,0,0.249,41.0,Wed,1,52.8,Resolved late
REQ-10074,Email,IT,Data report,Key client,Standard,41.8,1,23,10,3,1,0.341,38.0,Mon,1,48.3,Escalated late
REQ-10075,Email,HR,Procurement,,Standard,10.6,0,53,8,3,1,0.156,56.0,Fri,1,62.5,Resolved late
REQ-10076,Email,HR,System issue,Key client,Standard,8.3,0,39,7,0,0,0.346,18.0,Thu,1,53.7,Resolved late
REQ-10077,Chat,Facilities,Procurement,Internal,Urgent,15.0,3,71,3,2,1,0.228,86.0,Mon,1,58.1,Escalated late
REQ-10078,Portal,Finance,Payroll,Internal,Urgent,18.0,2,35,4,2,1,0.332,29.0,Thu,1,51.5,Resolved late
REQ-10079,Phone,Facilities,Procurement,Internal,Standard,18.9,2,54,7,0,1,0.264,37.0,Mon,1,49.4,Escalated late
REQ-10080,Email,Facilities,Access,Internal,Standard,18.8,1,57,11,1,1,0.339,28.0,Wed,1,70.6,Resolved late
REQ-10081,Portal,HR,System issue,Internal,Standard,15.4,0,35,6,2,1,0.491,17.0,Wed,1,80.9,Resolved late
REQ-10082,Portal,Facilities,Hardware,External supplier,Urgent,14.6,1,32,9,0,1,0.476,35.0,Fri,1,52.7,Escalated late
REQ-10083,Phone,IT,Access,Key client,Standard,22.7,0,52,7,0,1,0.431,50.0,Tue,1,55.7,Resolved late
REQ-10084,Phone,IT,Hardware,Internal,Standard,6.8,3,50,8,1,1,0.289,32.0,Mon,1,53.0,Resolved late
REQ-10085,Email,IT,System issue,Internal,Standard,8.4,3,22,10,0,1,0.279,22.0,Wed,1,54.7,Resolved late
REQ-10086,Chat,Facilities,Payroll,Internal,Standard,3.8,1,26,7,1,0,,57.0,Fri,0,46.0,Auto closed
REQ-10087,Email,Finance,Data report,Internal,Standard,6.9,3,8,6,1,0,0.248,58.0,Thu,0,22.4,Auto closed
REQ-10088,Chat,IT,System issue,Partner,Low,29.5,1,50,10,0,1,0.454,31.0,Mon,0,38.6,Resolved on time
REQ-10089,Email,Finance,Access,Internal,Standard,22.0,3,38,8,0,1,0.547,43.0,Mon,0,52.7,Resolved on time
REQ-10090,Email,IT,System issue,Key client,Standard,45.4,1,40,10,2,1,0.464,57.0,Thu,1,69.1,Resolved late
REQ-10091,Chat,Facilities,Hardware,Partner,Low,38.6,3,18,6,2,1,0.096,50.0,Thu,1,65.1,Resolved late
REQ-10092,Email,Finance,Hardware,Key client,Urgent,22.2,2,27,10,2,1,0.132,42.0,Wed,0,28.8,Resolved on time
REQ-10093,Portal,HR,Data report,Partner,Standard,16.7,3,35,8,1,0,0.235,49.0,Mon,1,58.4,Escalated late
REQ-10094,Portal,HR,Policy query,Internal,Low,15.3,0,33,8,0,1,0.645,44.0,Tue,0,45.1,Resolved on time
REQ-10095,Email,Facilities,Hardware,External supplier,Standard,1.9,1,44,8,0,1,0.096,36.0,Fri,1,67.7,Resolved late
REQ-10096,Phone,HR,Data report,Key client,Standard,14.1,2,50,6,3,1,0.386,18.0,Mon,1,59.5,Resolved late
REQ-10097,Chat,IT,Hardware,Partner,Standard,9.6,2,74,7,2,0,0.284,21.0,Tue,1,52.9,Resolved late
REQ-10098,Chat,IT,Procurement,Key client,Standard,7.1,2,42,7,0,1,0.328,,Wed,0,27.0,Auto closed
REQ-10099,Email,Data,Data report,Partner,Urgent,19.8,0,58,9,1,1,0.363,28.0,Thu,1,66.3,Resolved late
REQ-10100,Portal,Data,Data report,External supplier,Standard,12.9,2,30,7,2,0,0.136,,Fri,0,24.6,Resolved on time
REQ-10101,Email,Facilities,Data report,Internal,Standard,15.9,0,19,5,3,1,0.186,18.0,Wed,0,32.0,Resolved on time
REQ-10102,Email,HR,Access,Partner,Low,6.3,1,37,4,2,1,0.354,24.0,Wed,1,68.1,Resolved late
REQ-10103,Email,Data,System issue,Partner,Standard,26.2,2,20,4,1,1,0.287,32.0,Tue,1,50.1,Resolved late
REQ-10104,Chat,Facilities,Data report,Internal,Standard,10.6,1,42,9,1,1,0.43,9.0,Mon,0,40.7,Resolved on time
REQ-10105,Chat,Facilities,Data report,External supplier,Standard,19.1,2,31,5,0,1,0.25,22.0,Tue,0,22.8,Resolved on time
REQ-10106,Phone,Finance,Access,Internal,Standard,11.2,1,15,8,1,1,0.628,25.0,Tue,1,67.5,Resolved late
REQ-10107,Portal,HR,Procurement,Key client,Standard,1.5,0,66,8,0,1,0.286,39.0,Mon,0,40.8,Resolved on time
REQ-10108,Portal,IT,Payroll,Internal,Standard,20.4,1,34,7,1,1,0.452,31.0,Thu,0,46.9,Resolved on time
REQ-10109,Portal,Data,Access,Internal,Low,13.5,1,19,8,0,0,0.166,40.0,Tue,0,34.0,Resolved on time
REQ-10110,Portal,Finance,Hardware,Partner,Urgent,3.6,1,55,8,2,1,0.203,37.0,Wed,1,58.5,Escalated late
REQ-10111,Portal,IT,Procurement,Internal,Standard,5.6,1,32,2,1,0,0.409,31.0,Tue,0,22.8,Resolved on time
REQ-10112,Email,HR,System issue,Internal,Urgent,26.7,3,57,7,1,0,0.271,25.0,Wed,1,50.0,Escalated late
REQ-10113,Email,Finance,Hardware,Internal,Urgent,3.7,1,32,8,2,1,0.324,37.0,Mon,0,31.7,Resolved on time
REQ-10114,Chat,IT,System issue,Internal,Urgent,10.3,2,34,11,0,1,0.796,65.0,Thu,1,67.7,Resolved late
REQ-10115,Portal,Data,Procurement,Partner,Standard,47.9,2,47,11,0,1,0.369,25.0,Thu,1,53.8,Resolved late
REQ-10116,Chat,Facilities,System issue,External supplier,Standard,20.7,0,50,5,0,1,0.277,84.0,Tue,0,41.0,Resolved on time
REQ-10117,Email,Facilities,Procurement,Internal,Low,24.3,1,53,7,4,1,0.452,38.0,Tue,1,61.2,Resolved late
REQ-10118,Portal,HR,Procurement,Key client,Standard,12.0,0,41,4,1,1,0.379,55.0,Thu,0,29.3,Auto closed
REQ-10119,Email,Facilities,Data report,Internal,Standard,3.3,3,49,11,1,1,0.409,43.0,Tue,1,64.6,Resolved late
REQ-10120,Email,Finance,Policy query,Key client,Standard,17.0,1,52,10,1,1,0.248,46.0,Mon,1,61.6,Resolved late
REQ-10121,Email,Facilities,Procurement,Internal,Urgent,6.0,1,45,8,0,1,0.225,22.0,Tue,1,62.7,Resolved late
REQ-10122,Email,IT,Procurement,Internal,Low,5.5,3,40,8,1,0,0.12,28.0,Fri,0,38.1,Resolved on time
REQ-10123,Chat,HR,Data report,Internal,Standard,15.7,1,22,10,0,1,0.194,13.0,Wed,0,40.9,Resolved on time
REQ-10124,Email,IT,System issue,Key client,Standard,6.4,1,50,10,0,1,0.326,32.0,Tue,1,55.6,Resolved late
REQ-10125,Portal,Finance,Access,Internal,Standard,14.4,0,43,10,1,1,0.443,48.0,Wed,0,22.7,Resolved on time
REQ-10126,Portal,HR,Procurement,Internal,Low,8.6,3,36,8,2,1,0.544,32.0,Tue,1,61.1,Resolved late
REQ-10127,Portal,IT,Procurement,Partner,Low,14.1,1,60,7,0,1,0.037,56.0,Thu,0,27.8,Resolved on time
REQ-10128,Portal,IT,Policy query,Partner,Urgent,9.8,0,22,9,0,1,0.072,29.0,Wed,0,58.7,Resolved on time
REQ-10129,Email,Finance,Procurement,Internal,Standard,14.3,1,65,9,0,1,0.084,24.0,Wed,0,32.1,Resolved on time
REQ-10130,Chat,IT,Procurement,Partner,Low,36.6,1,42,7,2,1,0.477,27.0,Wed,1,65.1,Resolved late
REQ-10131,Phone,Data,Policy query,Partner,Low,24.7,0,46,7,0,1,0.395,51.0,Wed,1,49.5,Resolved late
REQ-10132,Phone,Finance,Procurement,Internal,Standard,13.2,1,36,10,2,0,0.29,75.0,Wed,0,45.4,Resolved on time
REQ-10133,Portal,HR,Hardware,Key client,Low,32.9,2,19,11,0,0,0.227,88.0,Tue,1,58.0,Resolved late
REQ-10134,Email,Finance,Hardware,Internal,Standard,19.3,1,40,6,1,1,0.355,48.0,Fri,1,50.8,Resolved late
REQ-10135,Chat,IT,Access,Partner,Standard,31.5,1,47,7,2,1,0.207,55.0,Tue,1,72.7,Resolved late
REQ-10136,Portal,Data,Access,Internal,Low,4.2,2,51,8,1,1,0.106,15.0,Fri,0,30.3,Resolved on time
REQ-10137,Email,Finance,Procurement,Key client,Standard,6.4,3,39,8,0,1,0.623,18.0,Thu,0,42.1,Resolved on time
REQ-10138,Portal,Facilities,System issue,Internal,Low,16.9,3,11,6,0,1,0.302,22.0,Wed,1,89.4,Resolved late
REQ-10139,Phone,IT,System issue,Internal,Standard,13.0,3,20,11,1,1,0.167,67.0,Tue,0,21.9,Resolved on time
REQ-10140,Portal,Finance,Access,External supplier,Urgent,14.4,1,71,8,0,0,0.244,66.0,Wed,1,53.4,Resolved late
REQ-10141,Phone,Finance,Data report,Internal,Standard,21.5,2,27,9,1,1,0.441,98.0,Fri,0,39.4,Resolved on time
REQ-10142,Phone,Data,Access,External supplier,Urgent,17.0,1,62,11,2,1,0.402,22.0,Mon,1,58.9,Escalated late
REQ-10143,Email,Finance,Policy query,External supplier,Low,26.2,2,29,7,2,1,0.181,34.0,Wed,0,19.4,Resolved on time
REQ-10144,Chat,Finance,Access,External supplier,Standard,25.8,1,39,7,4,1,0.202,,Thu,1,55.9,Resolved late
REQ-10145,Portal,HR,Data report,Internal,Standard,6.7,2,51,5,1,1,0.541,16.0,Thu,1,57.1,Escalated late
REQ-10146,Portal,HR,Payroll,Partner,Standard,1.6,2,31,7,1,0,0.353,30.0,Mon,0,30.4,Resolved on time
REQ-10147,Email,Finance,Data report,Internal,Urgent,6.3,2,64,5,1,1,0.389,23.0,Wed,1,53.2,Resolved late
REQ-10148,Chat,HR,Payroll,Internal,Low,6.0,0,43,9,1,1,0.194,23.0,Mon,0,49.8,Resolved on time
REQ-10149,Email,IT,System issue,,Urgent,15.1,2,48,8,2,1,0.09,26.0,Fri,1,49.5,Resolved late
REQ-10150,Email,Data,Hardware,Key client,Urgent,15.0,1,38,7,0,0,0.246,70.0,Tue,0,34.7,Resolved on time
REQ-10151,Portal,Data,Policy query,Internal,Standard,12.4,2,51,7,0,1,0.313,60.0,Wed,1,54.6,Escalated late
REQ-10152,Email,IT,Procurement,Internal,Standard,19.8,1,64,9,1,1,0.407,20.0,Fri,1,54.1,Resolved late
REQ-10153,Email,Finance,System issue,Partner,Standard,61.4,2,40,5,1,1,,59.0,Wed,1,75.2,Resolved late
REQ-10154,Portal,IT,System issue,Key client,Standard,12.2,2,66,8,0,1,0.049,24.0,Mon,1,56.6,Escalated late
REQ-10155,Portal,Facilities,Policy query,Internal,Standard,17.4,1,33,9,1,0,0.368,15.0,Fri,1,62.8,Escalated late
REQ-10156,Chat,HR,Hardware,External supplier,Standard,14.4,4,53,4,4,0,0.336,25.0,Thu,1,68.3,Resolved late
REQ-10157,Email,Facilities,Hardware,Internal,Urgent,9.2,1,49,9,2,0,0.146,41.0,Thu,1,59.3,Resolved late
REQ-10158,Phone,Facilities,Hardware,,Standard,21.6,3,27,4,1,0,0.345,,Mon,1,75.4,Escalated late
REQ-10159,Portal,Facilities,Hardware,Key client,Standard,11.7,3,45,7,0,1,,,Wed,1,50.4,Resolved late
REQ-10160,Portal,IT,Data report,External supplier,Standard,7.7,1,42,5,2,1,0.522,26.0,Wed,1,63.4,Resolved late
REQ-10161,Portal,Data,Policy query,Internal,Standard,8.1,2,30,10,1,1,0.56,43.0,Tue,0,58.9,Resolved on time
REQ-10162,Portal,IT,Policy query,Internal,Urgent,26.9,1,47,5,2,1,0.181,20.0,Wed,1,62.5,Resolved late
REQ-10163,Chat,IT,Procurement,Internal,Low,21.3,2,44,4,2,1,0.389,36.0,Tue,1,48.8,Resolved late
REQ-10164,Portal,Finance,Data report,Partner,Urgent,10.0,2,41,8,0,1,0.06,22.0,Wed,0,35.8,Resolved on time
REQ-10165,Email,HR,System issue,Internal,Standard,19.6,0,41,7,0,1,0.259,31.0,Fri,1,78.6,Resolved late
REQ-10166,Phone,Data,Policy query,Internal,Urgent,14.5,3,41,4,4,1,0.299,85.0,Thu,0,28.0,Auto closed
REQ-10167,Chat,Facilities,Hardware,External supplier,Standard,17.6,2,37,9,0,1,0.36,28.0,Tue,1,55.9,Resolved late
REQ-10168,Email,HR,Procurement,Internal,Urgent,9.0,0,44,4,1,0,0.416,17.0,Tue,0,38.8,Resolved on time
REQ-10169,Portal,Data,System issue,Key client,Standard,6.1,2,33,5,0,1,0.366,37.0,Mon,1,64.5,Resolved late
REQ-10170,Chat,HR,Hardware,Internal,Standard,11.7,3,79,6,0,1,0.192,37.0,Tue,1,59.7,Resolved late
REQ-10171,Phone,Finance,Procurement,Partner,Low,7.1,1,22,9,3,0,0.239,37.0,Mon,0,25.6,Resolved on time
REQ-10172,Chat,IT,Policy query,Internal,Standard,6.6,1,34,10,1,0,0.277,46.0,Mon,0,27.2,Resolved on time
REQ-10173,Portal,Data,Policy query,Internal,Standard,4.4,0,35,10,0,1,,27.0,Fri,1,51.9,Resolved late
REQ-10174,Portal,IT,Policy query,Internal,Standard,1.6,1,71,7,5,0,0.782,49.0,Fri,1,48.5,Resolved late
REQ-10175,Email,IT,System issue,Partner,Standard,10.1,0,24,3,0,1,0.481,35.0,Wed,1,73.4,Resolved late
REQ-10176,Chat,HR,Hardware,Partner,Standard,30.2,1,48,8,2,1,0.199,17.0,Thu,0,39.6,Auto closed
REQ-10177,Portal,Data,Payroll,Internal,Low,25.4,0,45,10,1,1,0.403,52.0,Wed,1,66.2,Resolved late
REQ-10178,Phone,Data,Procurement,Internal,Standard,40.2,3,47,10,0,1,0.06,38.0,Thu,0,38.0,Resolved on time
REQ-10179,Portal,Facilities,Data report,External supplier,Low,6.4,2,59,8,1,1,0.272,47.0,Fri,1,57.3,Resolved late
REQ-10180,Portal,Data,Procurement,Internal,Standard,22.6,0,59,5,2,1,0.161,18.0,Mon,1,56.3,Escalated late
REQ-10181,Phone,Data,Data report,Internal,Standard,13.2,0,36,6,1,1,0.304,53.0,Tue,0,22.9,Resolved on time
REQ-10182,Portal,Finance,Payroll,Key client,Standard,8.2,1,45,11,0,1,0.328,96.0,Mon,1,68.8,Resolved late
REQ-10183,Chat,HR,System issue,Internal,Standard,28.0,2,16,5,0,1,0.38,17.0,Thu,1,101.9,Resolved late
REQ-10184,Portal,Facilities,Payroll,Internal,Urgent,13.3,1,43,5,0,1,0.383,57.0,Fri,1,63.3,Resolved late
REQ-10185,Portal,Facilities,Payroll,Internal,Standard,2.9,0,31,9,0,1,,39.0,Thu,0,42.9,Resolved on time
REQ-10186,Portal,HR,Access,Internal,Standard,25.3,3,39,7,0,1,0.102,,Thu,1,70.9,Escalated late
REQ-10187,Portal,IT,Hardware,Internal,Standard,18.7,0,18,5,0,0,0.244,54.0,Wed,1,79.9,Resolved late
REQ-10188,Portal,Facilities,System issue,,Standard,15.8,1,48,11,0,0,0.329,51.0,Mon,1,52.8,Escalated late
REQ-10189,Email,HR,Procurement,Key client,Standard,5.4,2,18,8,1,1,0.239,64.0,Thu,0,21.6,Resolved on time
REQ-10190,Email,Data,Hardware,Internal,Standard,17.1,3,44,7,2,1,0.289,18.0,Fri,1,61.1,Escalated late
REQ-10191,Phone,IT,System issue,Partner,Standard,36.7,0,25,5,2,1,0.244,65.0,Fri,1,58.1,Escalated late
REQ-10192,Portal,IT,Procurement,Internal,Standard,18.3,0,30,12,0,0,0.287,42.0,Tue,0,71.0,Resolved on time
REQ-10193,Phone,Data,Access,Partner,Low,3.8,1,58,7,2,1,0.272,13.0,Tue,1,52.0,Escalated late
REQ-10194,Email,IT,Payroll,Internal,Low,19.3,0,50,10,0,1,0.026,28.0,Thu,0,58.5,Auto closed
REQ-10195,Email,IT,Access,Partner,Urgent,18.5,1,58,9,0,1,0.557,39.0,Mon,0,30.1,Resolved on time
REQ-10196,Email,Finance,Data report,Internal,Urgent,23.8,0,64,6,1,1,0.185,,Mon,1,51.4,Resolved late
REQ-10197,Phone,Data,Hardware,Internal,Urgent,18.1,2,31,6,0,1,0.202,33.0,Fri,1,81.9,Escalated late
REQ-10198,Chat,IT,Access,,Urgent,6.7,1,63,10,2,1,0.552,26.0,Fri,1,52.9,Escalated late
REQ-10199,Email,HR,Access,Internal,Standard,15.2,2,21,10,0,1,0.14,81.0,Wed,0,43.0,Resolved on time
REQ-10200,Phone,Facilities,Data report,Internal,Standard,11.9,3,52,4,1,1,0.13,121.0,Wed,0,33.4,Resolved on time
REQ-10201,Email,Data,Access,Key client,Low,16.5,0,35,9,2,1,0.374,49.0,Wed,0,58.5,Resolved on time
REQ-10202,Email,Finance,System issue,Partner,Standard,28.7,2,29,7,1,1,0.191,37.0,Mon,1,74.4,Resolved late
REQ-10203,Email,IT,Access,Internal,Low,8.6,1,51,5,1,0,0.298,20.0,Tue,1,57.9,Resolved late
REQ-10204,Email,IT,Data report,External supplier,Urgent,44.1,1,55,8,1,1,0.266,64.0,Tue,1,82.1,Resolved late
REQ-10205,Phone,IT,Procurement,Partner,Low,19.2,1,55,5,1,0,0.462,46.0,Fri,1,64.8,Resolved late
REQ-10206,Chat,IT,Procurement,Partner,Low,25.4,3,45,7,1,1,0.123,21.0,Wed,1,59.9,Escalated late
REQ-10207,Email,Facilities,Access,,Low,23.1,1,44,6,1,0,0.424,21.0,Thu,1,61.2,Resolved late
REQ-10208,Portal,IT,System issue,Key client,Low,18.7,2,49,7,4,0,0.335,33.0,Mon,0,43.6,Resolved on time
REQ-10209,Phone,Finance,Policy query,Internal,Low,21.1,2,46,7,1,0,0.201,37.0,Fri,1,57.5,Resolved late
REQ-10210,Chat,Facilities,Access,Key client,Standard,0.5,3,50,5,1,0,0.026,48.0,Fri,1,55.3,Resolved late
