learner_id,department,region,role_family,employee_band,training_type,enrolment_date,prior_python_score,course_minutes,engagement_score,manager_support_score,support_tickets_last_30d,completion_days,completed_on_time
L10068,Support,Unknown,Associate,C,Data Literacy,2026-03-08,22.7,64.0,84.7,4.0,0,10.0,1
L10373,operations,Leeds,Technician,A,ML Foundations,2026-01-24,72.7,179.0,,4.0,1,11.0,1
L10267,Finance,London,Technician,B,Data Literacy,2026-01-10,59.4,96.0,72.5,5.0,4,12.0,1
L10072,operations,Manchester,Associate,B,Python Basics,2026-02-21,75.7,121.6,44.7,3.0,1,11.0,0
L10174,operations,London,Specialist,A,Data Literacy,2026-03-12,79.2,87.1,85.4,5.0,0,22.0,1
L10181, OPERATIONS ,Manchester,Analyst,A,Responsible AI,2026-02-23,,52.5,37.3,1.0,4,13.0,0
L10211,Support,Manchester,Analyst,C,Python Basics,2026-02-16,43.1,67.9,55.4,2.0,3,12.0,0
L10556,Information Technology,Cardiff,Technician,A,AI Awareness,2026-01-23,55.2,113.9,65.3,2.0,2,24.0,1
L10146,Customer Support,remote ,Analyst,A,AI Awareness,22/01/2026,47.6,116.6,67.9,3.0,0,3.0,1
L10256,Customer Support,Cardiff,Manager,A,Data Literacy,2026-02-16,47.8,98.2,51.1,4.0,1,16.0,1
L10097,Sales,Bristol,Analyst,C,Python Basics,2026-02-26,87.5,177.4,83.5,2.0,1,16.0,1
L10421,finance,Edinburgh,Technician,C,AI Awareness,2026-02-22,24.8,132.5,23.2,1.0,5,11.0,0
L10368,IT,Cardiff,Manager,B,Python Basics,2026-03-25,80.0,148.3,60.4,2.0,0,8.0,1
L10391,Sales,Bristol,Specialist,C,Data Literacy,2026-03-23,31.0,114.4,87.7,5.0,3,16.0,1
L10598,operations,Birmingham,Manager,A,AI Awareness,2026-01-21,37.3,70.8,70.5,3.0,2,20.0,0
L10595,sales,London,Associate,B,ML Foundations,2026-03-03,50.0,175.0,54.4,3.0,2,10.0,1
L10337, OPERATIONS ,Manchester,Specialist,C,ML Foundations,2026-03-26,76.4,153.0,81.8,5.0,3,,1
L10039,Customer Support,Manchester,Associate,A,Data Literacy,2026-03-18,49.8,123.3,87.4,,3,12.0,1
L10109,finance,Leeds,Technician,B,Python Basics,2026-03-30,19.1,58.3,62.3,3.0,3,6.0,0
L10055,Human Resources,Birmingham,Analyst,D,ML Foundations,2026-03-17,59.1,90.7,51.4,4.0,2,20.0,0
L10050,Information Technology,Leeds,Coordinator,A,Data Literacy,2026-01-25,61.6,92.8,83.3,2.0,1,21.0,1
L10503,HR,Remote,Coordinator,A,AI Awareness,2026-03-14,47.7,57.2,54.1,1.0,1,9.0,0
L10077, OPERATIONS ,Remote,Associate,A,Responsible AI,2026-01-23,45.2,191.1,78.2,5.0,0,19.0,1
L10343,Operations,Manchester,Associate,B,AI Awareness,2026-02-22,53.4,238.6,60.4,3.0,1,20.0,1
L10159,finance,REMOTE,Associate,B,Data Literacy,2026-03-07,2.6,57.7,60.7,,2,20.0,1
L10317,,Manchester,Coordinator,D,Data Literacy,2026-03-18,,123.6,80.0,3.0,3,16.0,1
L10094,Sales,Unknown,Manager,C,ML Foundations,2026-03-06,55.3,108.0,68.6,5.0,1,14.0,1
L10017,Finance,Manchester,Technician,D,Data Literacy,2026-03-11,87.9,237.6,88.0,3.0,1,13.0,1
L10165,Operations,Bristol,Coordinator,C,AI Awareness,2026-03-27,64.8,132.1,73.7,1.0,1,19.0,1
L10228,Human Resources,London,Coordinator,A,Data Literacy,2026-01-25,57.2,58.1,100.0,1.0,0,19.0,1
L10476,IT,Unknown,Coordinator,B,Python Basics,2026-03-28,77.1,172.7,62.5,5.0,3,9.0,1
L10116,operations,remote ,Coordinator,B,AI Awareness,2026-03-01,34.6,118.0,59.4,1.0,3,13.0,0
L10030,finance,Cardiff,Manager,B,ML Foundations,2026-01-27,77.9,60.5,,4.0,3,7.0,1
L10288,Information Technology,Bristol,Associate,A,Data Literacy,2026-02-14,64.8,98.5,74.5,2.0,1,13.0,1
L10215,Customer Support,remote ,Associate,B,Data Literacy,2026-01-18,64.1,121.4,19.0,1.0,4,13.0,0
L10106,Information Technology,Leeds,Manager,A,AI Awareness,2026-02-21,45.0,112.8,60.9,1.0,4,13.0,0
L10166,Customer Support,Leeds,Coordinator,B,AI Awareness,2026-02-24,70.3,89.1,57.4,3.0,2,17.0,0
L10128,Customer Support,Bristol,Manager,C,AI Awareness,2026-03-03,61.6,94.5,84.4,5.0,1,8.0,1
L10589,operations,Birmingham,Manager,D,Python Basics,2026-03-03,62.9,96.2,100.0,5.0,4,9.0,1
L10555, OPERATIONS ,Birmingham,Technician,B,Data Literacy,2026-01-14,46.3,116.3,75.6,4.0,1,22.0,1
L10379,HR,Bristol,Analyst,A,Responsible AI,2026-03-15,13.3,128.1,68.1,2.0,2,4.0,1
L10512,finance,Manchester,Manager,A,Python Basics,2026-03-13,67.8,87.6,77.7,2.0,2,14.0,1
L10090,finance,remote ,Coordinator,B,AI Awareness,2026-02-16,64.0,60.8,82.7,4.0,1,12.0,1
L10525,finance,Manchester,Associate,A,ML Foundations,2026-03-17,75.4,153.1,77.2,4.0,1,16.0,1
L10450,Human Resources,REMOTE,Manager,C,Python Basics,2026-03-10,35.8,89.7,51.5,5.0,3,10.0,1
L10112, OPERATIONS ,Birmingham,Manager,B,Data Literacy,2026-02-12,42.9,233.1,54.9,1.0,2,17.0,1
L10295,finance,Remote,Technician,D,ML Foundations,2026-03-17,88.0,250.0,57.4,1.0,1,8.0,1
L10361,Customer Support,Remote,Coordinator,B,Data Literacy,2026-02-26,28.1,128.6,62.8,2.0,3,26.0,0
L10283,sales,Birmingham,Analyst,A,Data Literacy,2026-02-21,29.8,130.9,71.9,4.0,5,10.0,0
L10316,IT,Cardiff,Manager,C,ML Foundations,2026-02-04,59.3,152.6,78.9,1.0,2,24.0,1
L10549,Operations,Manchester,Manager,B,Data Literacy,2026-03-01,89.9,50.8,65.0,5.0,5,16.0,1
L10414,finance,Leeds,Technician,A,AI Awareness,2026-04-01,61.4,113.5,,5.0,2,7.0,0
L10006,Customer Support,Cardiff,Coordinator,C,Python Basics,2026-01-21,50.5,175.3,100.0,1.0,0,6.0,1
L10422,HR,,Specialist,A,AI Awareness,2026-01-31,61.4,191.6,57.6,5.0,1,16.0,1
L10519,Sales,Unknown,Associate,A,Data Literacy,2026-03-26,30.6,144.8,85.2,1.0,3,17.0,0
L10400,Operations,Leeds,Manager,C,AI Awareness,2026-02-02,55.8,121.3,60.2,,2,25.0,0
L10195,Sales,Bristol,Associate,B,Data Literacy,not recorded,30.9,140.1,44.2,2.0,2,17.0,0
L10189,HR,Unknown,Analyst,A,Responsible AI,2026-02-25,17.8,158.1,59.0,1.0,3,6.0,0
L10132,Support,Bristol,Manager,B,Python Basics,2026-02-12,38.5,80.8,73.3,1.0,2,8.0,1
L10238,Operations,REMOTE,Analyst,A,ML Foundations,2026-03-06,61.3,152.8,68.3,3.0,2,17.0,1
L10458,Operations,London,Technician,A,Data Literacy,2026-03-16,36.7,97.7,95.3,1.0,1,16.0,1
L10318,Information Technology,Birmingham,Analyst,C,ML Foundations,2026-01-13,66.8,121.3,57.9,2.0,1,0.0,1
L10194,Finance,Remote,Associate,B,ML Foundations,2026-03-18,81.3,82.7,87.6,5.0,0,9.0,1
L10141,IT,Birmingham,Manager,C,ML Foundations,2026-01-22,125.0,148.7,74.4,4.0,1,19.0,1
L10047,Information Technology,London,Coordinator,C,Responsible AI,2026-03-02,73.4,112.5,78.2,2.0,3,8.0,1
L10210, OPERATIONS ,Leeds,Analyst,A,Data Literacy,2026-03-28,76.4,125.6,31.1,4.0,1,13.0,0
L10553,Sales,Unknown,Analyst,D,ML Foundations,2026-03-04,58.0,236.3,39.5,2.0,0,11.0,0
L10401,IT,Unknown,Manager,B,ML Foundations,2026-01-21,,125.2,77.0,1.0,2,20.0,0
L10178, OPERATIONS ,Unknown,Associate,C,AI Awareness,2026-02-15,54.1,120.6,69.6,3.0,2,17.0,1
L10580,Information Technology,Leeds,Associate,C,Data Literacy,2026-01-15,48.3,58.1,53.5,3.0,3,18.0,0
L10439,Support,London,Coordinator,C,Responsible AI,2026-02-13,41.9,156.9,53.7,4.0,3,11.0,0
L10155,Finance,Cardiff,Associate,B,Python Basics,not recorded,85.7,84.0,46.3,4.0,2,14.0,1
L10322,finance,Remote,Analyst,B,ML Foundations,2026-02-08,26.4,147.8,,5.0,0,21.0,0
L10070,Human Resources,Remote,Specialist,B,AI Awareness,2026-02-25,56.6,182.6,57.3,2.0,1,20.0,1
L10021,HR,London,Analyst,D,ML Foundations,2026-01-10,62.8,61.3,45.5,4.0,3,8.0,1
L10138,Finance,Unknown,Associate,D,AI Awareness,2026-01-05,62.8,243.7,45.1,5.0,3,20.0,0
L10259,Finance,,Manager,A,Data Literacy,2026-01-18,57.7,139.1,57.2,1.0,5,19.0,0
L10038,Human Resources,Manchester,Technician,B,Data Literacy,2026-01-10,75.3,80.6,91.4,3.0,1,21.0,1
L10330,Operations,Manchester,Manager,B,ML Foundations,2026-02-14,38.4,86.6,83.6,4.0,3,22.0,1
L10561,Sales,Birmingham,Specialist,A,AI Awareness,2026-02-06,31.3,92.1,31.3,5.0,3,12.0,0
L10063,Human Resources,London,Analyst,A,Python Basics,2026-01-11,44.9,253.2,52.5,4.0,4,20.0,0
L10123,sales,Unknown,Coordinator,C,Responsible AI,2026-01-11,,146.7,66.6,4.0,4,13.0,1
L10273,operations,Remote,Analyst,C,ML Foundations,2026-03-02,44.8,80.5,41.6,3.0,4,23.0,0
L10004,IT,Remote,Specialist,A,ML Foundations,2026-02-14,43.8,60.3,59.4,,2,22.0,1
L10150,Information Technology,London,Associate,C,ML Foundations,2026-03-21,93.3,87.1,58.4,5.0,1,19.0,1
L10160,Support,Bristol,Analyst,D,Responsible AI,2026-01-20,40.2,83.6,51.8,5.0,1,,1
L10415,Information Technology,Unknown,Associate,A,AI Awareness,2026-01-19,66.9,113.7,46.2,5.0,1,13.0,0
L10557,HR,Birmingham,Manager,C,Data Literacy,2026-01-20,46.5,250.3,80.1,1.0,2,20.0,1
L10074,operations,Manchester,Specialist,A,Responsible AI,2026-03-15,68.0,129.2,59.9,2.0,2,18.0,1
L10145,HR,London,Manager,B,ML Foundations,2026-03-26,29.3,61.1,61.3,3.0,3,10.0,0
L10218,Human Resources,Birmingham,Technician,C,Data Literacy,2026-03-05,57.6,59.2,51.5,2.0,1,12.0,0
L10185,Support,Remote,Analyst,B,AI Awareness,2026-03-20,39.0,87.9,56.3,1.0,2,11.0,0
L10554,Human Resources,Cardiff,Analyst,A,Python Basics,2026-03-25,33.4,134.6,64.7,5.0,2,22.0,1
L10594,Information Technology,Birmingham,Technician,A,Responsible AI,15/02/2026,46.7,72.7,74.4,4.0,0,20.0,1
L10289,Customer Support,Birmingham,Specialist,A,AI Awareness,2026-03-06,56.1,112.4,52.1,1.0,3,10.0,0
L10404,Finance,remote ,Associate,C,AI Awareness,2026-03-17,46.0,-30.0,32.9,2.0,1,15.0,0
L10499,IT,Bristol,Analyst,B,Data Literacy,2026-03-29,14.9,145.1,48.8,3.0,1,19.0,0
L10078,Finance,Bristol,Technician,A,Responsible AI,2026-03-06,38.9,242.4,53.9,3.0,2,14.0,0
L10489,sales,remote ,Specialist,B,AI Awareness,2026-02-21,60.4,185.7,90.4,1.0,3,6.0,1
L10468,sales,London,Associate,B,Responsible AI,2026-02-03,39.9,184.3,75.0,2.0,3,19.0,0
L10170,IT,Bristol,Analyst,A,Python Basics,2026-03-24,20.0,173.5,71.4,1.0,1,10.0,0
L10026,finance,Cardiff,Manager,B,Responsible AI,2026-02-03,37.6,110.7,69.1,2.0,1,18.0,0
L10114,sales,REMOTE,Analyst,C,Data Literacy,2026-01-24,51.1,170.0,70.3,3.0,6,14.0,1
L10321,Finance,London,Technician,A,AI Awareness,2026-03-10,75.8,68.5,32.6,2.0,1,21.0,0
L10257,Information Technology,,Associate,B,Data Literacy,2026-02-06,56.3,89.4,45.4,1.0,2 tickets,16.0,0
L10426,sales,London,Coordinator,D,AI Awareness,2026-02-20,47.0,145.0,59.6,,3,18.0,0
L10490, OPERATIONS ,,Manager,A,Data Literacy,2026-02-12,39.6,242.6,60.4,1.0,1,21.0,0
L10428,HR,Remote,Manager,A,Python Basics,2026-01-14,60.5,144.5,82.7,5.0,3,13.0,1
L10148,finance,London,Manager,A,Data Literacy,2026-03-19,,93.2,52.3,1.0,1,13.0,0
L10105,Human Resources,Remote,Coordinator,B,AI Awareness,2026-01-15,70.8,172.0,70.8,1.0,0,15.0,1
L10287,Finance,Manchester,Manager,A,ML Foundations,2026-03-19,46.8,152.4,72.4,2.0,1,31.0,1
L10431,Customer Support,London,Associate,D,AI Awareness,2026-02-16,47.8,185.5,54.1,3.0,3,13.0,0
L10235,Support,London,Specialist,B,Data Literacy,2026-01-25,47.7,58.7,76.4,1.0,4,4.0,1
L10475, OPERATIONS ,London,Technician,C,AI Awareness,2026-02-02,68.0,198.9,43.4,5.0,2,12.0,1
L10464,Operations,Manchester,Specialist,C,Data Literacy,2026-02-09,59.0,98.7,57.8,1.0,2,10.0,0
L10530,Information Technology,Unknown,Coordinator,C,Python Basics,04/04/2026,54.8,66.7,73.5,2.0,2,11.0,1
L10342,finance,Manchester,Coordinator,B,Python Basics,2026-03-06,59.8,186.5,77.1,5.0,3,10.0,1
L10423,HR,Remote,Manager,A,Responsible AI,2026-03-12,26.2,86.8,70.8,3.0,1,9.0,1
L10175,Operations,London,Technician,B,ML Foundations,2026-03-01,36.3,156.0,46.0,3.0,1,28.0,0
L10233,IT,Leeds,Associate,B,Python Basics,2026-03-12,,97.6,75.9,4.0,2,6.0,1
L10357,Information Technology,remote ,Associate,A,AI Awareness,2026-03-07,27.1,126.9,45.6,1.0,1,2.0,0
L10406,operations,Unknown,Coordinator,B,ML Foundations,2026-01-28,58.7,247.9,14.5,3.0,5,26.0,0
L10036,Support,Leeds,Analyst,A,Data Literacy,2026-03-21,55.7,56.5,40.7,5.0,2,12.0,1
L10018,Support,Manchester,Associate,B,Data Literacy,2026-03-26,54.3,52.8,79.3,3.0,1,10.0,1
L10340,IT,Birmingham,Coordinator,A,Python Basics,2026-02-14,41.7,248.9,81.5,5.0,5,16.0,1
L10254, OPERATIONS ,Birmingham,Associate,C,ML Foundations,2026-02-25,71.0,256.2,67.2,1.0,5,,0
L10362,IT,Edinburgh,Associate,A,Python Basics,2026-01-05,59.7,57.9,54.6,2.0,1,13.0,0
L10384,finance,REMOTE,Associate,C,AI Awareness,2026-02-26,48.7,78.7,53.7,4.0,4,16.0,1
L10034,IT,remote ,Associate,B,Data Literacy,2026-02-08,52.9,116.6,55.0,3.0,2,6.0,1
L10095,Operations,Unknown,Analyst,D,AI Awareness,2026-03-19,50.9,188.0,57.9,2.0,0,19.0,1
L10509,IT,Leeds,Analyst,A,AI Awareness,2026-02-08,49.8,1440.0,32.5,4.0,1,12.0,0
L10359,IT,,Coordinator,B,Data Literacy,2026-04-02,52.8,124.8,43.1,2.0,3,11.0,0
L10015,Information Technology,,Associate,D,Python Basics,2026-03-02,45.6,92.2,,1.0,4,24.0,1
L10336,finance,Cardiff,Associate,D,Data Literacy,2026-03-25,61.4,92.7,58.3,2.0,1,12.0,0
L10418,operations,Leeds,Analyst,B,Data Literacy,2026-03-21,53.7,122.2,56.4,4.0,2,7.0,1
L10466,Sales,Cardiff,Associate,C,Responsible AI,2026-01-10,53.7,171.3,94.7,5.0,3,10.0,1
L10237,Customer Support,London,Analyst,A,Responsible AI,2026-03-17,55.6,59.5,68.9,2.0,3,12.0,1
L10277, OPERATIONS ,Edinburgh,Analyst,A,Python Basics,2026-02-17,49.3,143.7,83.1,4.0,3,12.0,1
L10398,Information Technology,London,Manager,A,Responsible AI,2026-02-09,73.9,88.8,,1.0,3,11.0,1
L10023,HR,London,Manager,D,Python Basics,2026-03-10,50.0,999.0,66.5,2.0,5,11.0,1
L10488,,Remote,Technician,C,Responsible AI,2026-03-09,41.0,111.4,64.1,5.0,4,18.0,1
L10564,IT,London,Manager,A,ML Foundations,2026-03-08,39.0,87.0,70.5,4.0,1,15.0,1
L10276,Sales,Birmingham,Associate,B,Data Literacy,2026-03-20,,62.9,57.0,3.0,3,14.0,1
L10255,Information Technology,Bristol,Coordinator,C,ML Foundations,2026-03-15,47.9,241.6,85.8,3.0,1,16.0,1
L10313,Operations,London,Coordinator,C,Data Literacy,2026-03-20,69.6,112.8,72.3,3.0,1,23.0,1
L10412,Finance,,Coordinator,A,ML Foundations,2026-02-05,33.0,151.4,58.2,2.0,2,11.0,0
L10057,HR,Manchester,Technician,D,Python Basics,2026-01-13,53.3,117.0,43.1,1.0,1,17.0,0
L10310,HR,,Specialist,C,Python Basics,2026-02-09,50.3,153.2,84.5,4.0,4 tickets,22.0,1
L10551, OPERATIONS ,Bristol,Technician,B,Data Literacy,2026-02-16,54.7,92.6,,5.0,3,8.0,1
L10071,Human Resources,Manchester,Technician,B,AI Awareness,2026-03-21,39.0,63.4,70.3,2.0,1,20.0,1
L10143,HR,Edinburgh,Specialist,C,AI Awareness,2026-01-13,41.8,173.5,79.3,1.0,4,16.0,1
L10279,Information Technology,Remote,Associate,C,Data Literacy,2026-02-26,60.5,118.0,51.7,4.0,0,10.0,1
L10147,Human Resources,Remote,Associate,B,Responsible AI,2026-01-17,51.3,151.6,,5.0,0,0.0,1
L10442,Support,Remote,Associate,B,Data Literacy,2026-03-10,26.0,237.7,,5.0,3,17.0,1
L10444,Operations,Bristol,Coordinator,C,Python Basics,2026-03-15,35.0,115.3,87.7,1.0,3,16.0,0
L10221,Finance,London,Associate,A,Responsible AI,2026-01-20,,128.7,53.5,3.0,3,22.0,0
L10445,sales,Remote,Technician,B,Python Basics,2026-01-13,,66.6,73.3,2.0,4,7.0,1
L10081,Sales,Cardiff,Manager,C,Data Literacy,2026-01-21,47.4,113.2,57.8,5.0,2,16.0,1
L10126,Human Resources,Remote,Coordinator,B,Data Literacy,2026-03-16,25.0,154.4,40.5,3.0,3,10.0,1
L10515,Sales,Leeds,Coordinator,D,Python Basics,2026-02-27,49.7,90.8,63.9,3.0,1,23.0,0
L10572,Information Technology,Bristol,Manager,B,AI Awareness,2026-02-02,37.3,56.2,58.0,5.0,1,18.0,1
L10080,Operations,Leeds,Manager,C,Responsible AI,2026-02-10,53.4,180.5,94.8,2.0,1,21.0,1
L10549,Operations,Manchester,Manager,B,Data Literacy,2026-03-01,89.9,50.8,65.0,5.0,5,16.0,1
L10258,Operations,REMOTE,Coordinator,B,Data Literacy,2026-03-13,55.2,140.7,83.1,4.0,1,10.0,1
L10334,Customer Support,Manchester,Specialist,B,ML Foundations,2026-03-18,61.5,233.4,57.8,1.0,3,10.0,0
L10301,HR,Cardiff,Coordinator,A,ML Foundations,2026-02-15,77.3,191.4,50.2,2.0,1,8.0,0
L10219,Customer Support,Manchester,Coordinator,B,Data Literacy,2026-01-31,27.2,177.5,64.5,4.0,1,13.0,1
L10260,Sales,remote ,Coordinator,A,Data Literacy,2026-02-19,64.6,174.5,85.9,4.0,0,20.0,1
L10596,operations,Manchester,Technician,C,AI Awareness,2026-02-18,59.4,118.5,76.9,4.0,2,16.0,1
L10411,Sales,Unknown,Technician,B,ML Foundations,2026-03-18,,184.0,80.7,2.0,3,10.0,1
L10024,Support,Birmingham,Technician,A,Data Literacy,2026-02-10,70.8,178.8,27.6,5.0,0,13.0,0
L10540,,Manchester,Technician,C,AI Awareness,2026-01-21,76.5,184.6,78.0,2.0,6,12.0,1
L10223,Support,Bristol,Manager,A,AI Awareness,2026-01-14,72.5,174.1,64.6,1.0,1,10.0,1
L10269,IT,London,Analyst,A,Data Literacy,2026-03-26,46.4,68.5,66.5,4.0,3,17.0,1
L10051,Information Technology,London,Specialist,A,Data Literacy,2026-04-01,55.8,195.7,26.5,5.0,2,26.0,0
L10280,Sales,Birmingham,Analyst,A,Data Literacy,2026-02-20,55.0,56.6,62.8,2.0,1,9.0,0
L10122,IT,,Technician,D,Data Literacy,2026-01-07,33.4,248.1,16.2,3.0,1,11.0,0
L10371,sales,Unknown,Coordinator,B,Python Basics,2026-03-20,72.8,247.4,100.0,2.0,4,10.0,1
L10193,IT,Unknown,Technician,C,Python Basics,2026-03-11,50.9,115.2,80.1,1.0,1,19.0,1
L10408,Operations,Unknown,Manager,B,ML Foundations,2026-01-06,56.5,183.0,100.0,1.0,2,,1
L10574,Support,Unknown,Manager,D,AI Awareness,2026-03-16,57.1,92.1,50.1,1.0,3,19.0,0
L10252,operations,remote ,Associate,C,Data Literacy,2026-03-15,55.8,193.9,51.2,5.0,1,8.0,1
L10385,HR,Manchester,Associate,C,Python Basics,2026-03-24,74.1,183.8,86.2,4.0,3,26.0,1
L10331,Human Resources,REMOTE,Analyst,A,AI Awareness,2026-03-06,37.2,125.1,76.1,1.0,3,18.0,1
L10563, OPERATIONS ,London,Manager,A,Python Basics,2026-03-01,66.7,75.1,84.1,1.0,5,10.0,0
L10377,finance,Unknown,Manager,B,Data Literacy,2026-02-07,41.5,243.9,60.5,5.0,3,13.0,1
L10453,Customer Support,Unknown,Associate,A,Python Basics,2026-02-02,14.5,84.9,85.1,5.0,4,9.0,1
L10566,sales,REMOTE,Specialist,B,Data Literacy,2026-03-22,75.3,145.2,55.7,1.0,2,17.0,0
L10031,HR,Birmingham,Associate,D,Python Basics,2026-01-05,40.1,64.3,51.5,2.0,5,5.0,0
L10481,Operations,Leeds,Technician,B,Data Literacy,2026-03-21,70.5,240.8,76.5,3.0,2,12.0,1
L10268, OPERATIONS ,London,Technician,B,AI Awareness,2026-02-20,49.9,146.1,67.0,2.0,1,15.0,1
L10167,Sales,Manchester,Specialist,B,AI Awareness,2026-01-28,40.1,168.2,82.1,4.0,2,13.0,1
L10200, OPERATIONS ,Edinburgh,Specialist,C,AI Awareness,2026-01-21,71.8,118.9,91.6,3.0,1,11.0,1
L10367,IT,London,Analyst,B,AI Awareness,2026-01-20,81.4,82.7,66.9,3.0,2,15.0,1
L10300,Customer Support,Unknown,Associate,A,AI Awareness,2026-02-05,48.1,53.1,88.3,5.0,2,,1
L10437,Sales,Birmingham,Manager,D,Data Literacy,2026-01-26,45.9,157.3,55.2,1.0,1,8.0,0
L10392,Human Resources,Leeds,Associate,B,ML Foundations,2026-01-13,67.0,151.5,97.8,3.0,5,16.0,1
L10511,Information Technology,Birmingham,Manager,D,Python Basics,2026-02-27,44.2,190.9,40.2,1.0,0,1.0,0
L10217,Sales,Cardiff,Manager,B,ML Foundations,2026-03-31,53.9,126.6,68.2,4.0,0,5.0,1
L10270,Sales,London,Associate,D,AI Awareness,2026-02-19,73.0,105.9,57.2,2.0,0,15.0,1
L10083, OPERATIONS ,London,Associate,C,Data Literacy,2026-03-16,66.7,249.4,23.2,1.0,2,10.0,0
L10456,Support,Remote,Analyst,B,Data Literacy,2026-02-13,43.4,119.7,53.8,2.0,4,21.0,0
