customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned,signup_month,signup_quarter,days_since_last_login,tenure_band,usage_per_active_day,fee_per_usage_minute,ticket_rate_per_tenure,low_usage_high_tickets_flag,monthly_contract_low_satisfaction_flag,account_note_length,mentions_price_issue,mentions_support_issue,late_payment_rate,days_to_renewal,satisfaction_x_support_load
CUST-1011,2023-02-01,2024-12-06,South East,Retail,Premium,Monthly,Sales-led,182.56,22,405.8,15,3,1,6.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,2,1,25,established,27.053333333333335,0.44987678659438146,0.13636363636363635,0,0,72,1,0,0.045454545454545456,305,11.399999999999999
CUST-1012,2020-01-06,2024-12-25,South West,Professional Services,Standard,Monthly,Renewal upgrade,93.14,59,151.5,8,1,0,6.6,6,Low usage noted in recent month; customer did not attend webinar.,,,,0,1,1,6,long_term,18.9375,0.6147854785478548,0.01694915254237288,0,0,65,0,0,0.0,152,3.4000000000000004
CUST-1013,2021-12-31,2024-12-28,Wales,Professional Services,Premium,Monthly,Self-serve,195.88,36,538.0,18,1,0,10.0,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,12,4,3,established,29.88888888888889,0.36408921933085503,0.027777777777777776,0,0,72,1,0,0.0,60,0.0
CUST-1014,2020-07-28,2024-12-23,Midlands,Healthcare,Enterprise,Monthly,Self-serve,352.88,53,178.7,10,3,3,6.9,2,Healthy adoption in team; users asked for reporting improvements.,,,,0,7,3,8,long_term,17.869999999999997,1.9747062115277,0.05660377358490566,0,0,65,0,0,0.05660377358490566,32,9.299999999999999
CUST-1015,2020-12-26,2024-12-23,North West,Professional Services,Standard,Monthly,Renewal upgrade,113.83,48,410.1,25,3,0,7.2,6,Manager requested renewal details and training resources.,,,,0,12,4,8,long_term,16.404,0.27756644720799806,0.0625,0,0,57,0,0,0.0,152,8.399999999999999
CUST-1016,2020-12-25,2024-12-09,South East,Manufacturing,Basic,Annual,Sales-led,39.93,48,93.6,3,2,0,4.1,5,Support issue around onboarding and admin setup.,,,,0,12,4,22,long_term,31.2,0.42660256410256414,0.041666666666666664,0,0,48,0,1,0.0,121,11.8
CUST-1017,2022-06-13,2024-12-28,Scotland,Retail,Basic,Monthly,Renewal upgrade,49.67,30,192.7,2,1,0,8.7,5,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,6,2,3,established,96.35,0.25775817332641415,0.03333333333333333,0,0,72,1,0,0.0,121,1.3000000000000007
CUST-1018,2020-10-17,2024-12-14,London,Retail,Standard,Annual,Sales-led,87.23,50,217.0,3,5,0,5.8,6,Invoice query raised; finance contact requested clarification.,,,,0,10,4,17,long_term,72.33333333333333,0.4019815668202765,0.1,0,0,62,1,0,0.0,152,21.0
CUST-1019,2021-01-02,2024-12-26,Midlands,Healthcare,Enterprise,Monthly,Self-serve,344.04,47,390.6,19,3,1,9.0,7,Healthy adoption in team; users asked for reporting improvements.,,,,0,1,1,5,long_term,20.557894736842105,0.8807987711213517,0.06382978723404255,0,0,65,0,0,0.02127659574468085,182,3.0
CUST-1020,2020-11-25,2024-12-21,Wales,Healthcare,Standard,Annual,Self-serve,95.85,49,270.0,11,0,0,7.4,2,Invoice query raised; finance contact requested clarification.,,,,0,11,4,10,long_term,24.545454545454547,0.355,0.0,0,0,62,1,0,0.0,32,0.0
CUST-1021,2021-06-05,2024-12-16,Midlands,Professional Services,Premium,Annual,Self-serve,170.29,42,375.0,19,0,0,7.5,1,Healthy adoption in team; users asked for reporting improvements.,,,,0,6,2,15,long_term,19.736842105263158,0.45410666666666666,0.0,0,0,65,0,0,0.0,1,0.0
CUST-1022,2022-08-15,2024-12-30,South East,Professional Services,Standard,Annual,Renewal upgrade,84.41,28,122.4,3,1,1,7.6,9,Low usage noted in recent month; customer did not attend webinar.,price,2025-03-15,success_call,1,8,3,1,established,40.800000000000004,0.6896241830065359,0.03571428571428571,0,0,65,0,0,0.03571428571428571,244,2.4000000000000004
CUST-1023,2021-08-06,2024-12-27,South West,Technology,Basic,Annual,Sales-led,32.04,40,64.1,6,5,0,10.0,7,Customer happy with product but needs integration advice.,,,,0,8,3,4,long_term,10.683333333333332,0.4998439937597504,0.125,1,0,57,0,0,0.0,182,0.0
CUST-1024,2021-04-23,2024-12-26,South West,Professional Services,Standard,Monthly,Renewal upgrade,70.92,44,96.3,3,7,2,6.6,5,Manager requested renewal details and training resources.,business_closed,2025-02-06,none,1,4,2,5,long_term,32.1,0.7364485981308412,0.1590909090909091,1,0,57,0,0,0.045454545454545456,121,23.800000000000004
CUST-1025,2022-01-25,2024-12-30,Midlands,Education,Standard,Annual,Self-serve,86.32,35,109.9,1,1,0,7.9,10,Manager requested renewal details and training resources.,,,,0,1,1,1,established,109.9,0.7854413102820745,0.02857142857142857,0,0,57,0,0,0.0,274,2.0999999999999996
CUST-1026,2022-06-16,2024-12-28,London,Education,Premium,Monthly,Self-serve,186.53,30,120.7,3,0,1,,11,Invoice query raised; finance contact requested clarification.,,,,0,6,2,3,established,40.233333333333334,1.5454018227009114,0.0,0,0,62,1,0,0.03333333333333333,305,0.0
CUST-1027,2020-01-23,2024-12-30,North West,Retail,Standard,Annual,Renewal upgrade,79.82,59,158.8,2,1,0,5.3,10,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,1,1,1,long_term,79.4,0.5026448362720403,0.01694915254237288,0,0,72,1,0,0.0,274,4.7
CUST-1028,2023-07-23,2024-12-14,London,Healthcare,Basic,Annual,Sales-led,32.58,17,118.6,13,1,0,6.0,12,Invoice query raised; finance contact requested clarification.,,,,0,7,3,17,growing,9.123076923076923,0.27470489038785834,0.058823529411764705,0,0,62,1,0,0.0,335,4.0
CUST-1029,2023-08-30,2024-12-23,London,Public Sector,Premium,Monthly,Renewal upgrade,200.49,16,218.1,8,3,1,3.5,9,Customer happy with product but needs integration advice.,competitor,2025-02-12,none,1,8,3,8,growing,27.2625,0.9192572214580468,0.1875,0,1,57,0,0,0.0625,244,19.5
CUST-1030,2022-05-29,2024-12-27,Wales,Public Sector,Basic,Annual,Self-serve,41.36,31,103.8,7,0,0,10.0,5,Invoice query raised; finance contact requested clarification.,,,,0,5,2,4,established,14.828571428571427,0.3984585741811175,0.0,0,0,62,1,0,0.0,121,0.0
CUST-1031,2022-04-18,2024-12-05,Midlands,Retail,Enterprise,Monthly,Partner,352.85,32,,5,0,1,10.0,2,Manager requested renewal details and training resources.,,,,0,4,2,26,established,,,0.0,0,0,57,0,0,0.03125,32,0.0
CUST-1032,2022-10-11,2024-12-29,South West,Retail,Basic,Annual,Sales-led,56.71,26,146.7,2,3,0,7.9,11,Manager requested renewal details and training resources.,,,,0,10,4,2,established,73.35,0.3865712338104976,0.11538461538461539,0,0,57,0,0,0.0,305,6.299999999999999
CUST-1033,2021-10-05,2024-12-28,South East,Retail,Basic,Annual,Self-serve,56.95,38,268.3,10,1,0,8.5,11,Low usage noted in recent month; customer did not attend webinar.,,,,0,10,4,3,long_term,26.830000000000002,0.21226239284383153,0.02631578947368421,0,0,65,0,0,0.0,305,1.5
CUST-1034,2021-06-17,2024-12-13,South East,Education,Standard,Monthly,Partner,80.73,42,150.2,10,2,3,4.2,1,Customer happy with product but needs integration advice.,competitor,2025-01-25,success_call,1,6,2,18,long_term,15.02,0.5374833555259655,0.047619047619047616,0,1,57,0,0,0.07142857142857142,1,11.6
CUST-1035,2021-05-29,2024-12-31,North West,Manufacturing,Standard,Annual,Self-serve,96.23,43,212.3,6,2,0,7.5,5,Multiple support contacts; wants faster response time.,,,,0,5,2,0,long_term,35.38333333333333,0.4532736693358455,0.046511627906976744,0,0,54,0,1,0.0,121,5.0
CUST-1036,2020-08-21,2024-12-13,London,Retail,Standard,Annual,Sales-led,79.58,52,230.1,6,1,1,10.0,3,Invoice query raised; finance contact requested clarification.,,,,0,8,3,18,long_term,38.35,0.3458496305953933,0.019230769230769232,0,0,62,1,0,0.019230769230769232,60,0.0
CUST-1037,2023-05-13,2024-12-28,London,Retail,Standard,Monthly,Sales-led,128.36,19,111.7,5,1,1,7.5,6,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-20,success_call,1,5,2,3,established,22.34,1.149149507609669,0.05263157894736842,0,0,72,1,0,0.05263157894736842,152,2.5
CUST-1038,2021-04-13,2024-12-28,North West,Technology,Enterprise,Monthly,Renewal upgrade,329.86,44,213.2,11,4,1,6.2,1,Healthy adoption in team; users asked for reporting improvements.,support,2025-02-26,discount,1,4,2,3,long_term,19.38181818181818,1.5471857410881802,0.09090909090909091,0,0,65,0,0,0.022727272727272728,1,15.2
CUST-1039,2021-02-19,2024-12-28,South East,Professional Services,Standard,Monthly,Sales-led,86.43,46,130.1,12,2,0,4.9,8,Multiple support contacts; wants faster response time.,,,,0,2,1,3,long_term,10.841666666666667,0.6643351268255189,0.043478260869565216,0,1,54,0,1,0.0,213,10.2
CUST-1040,2023-11-08,2024-12-29,Wales,Healthcare,Standard,Annual,Partner,86.51,13,341.1,15,3,3,9.1,7,Manager requested renewal details and training resources.,,,,0,11,4,2,growing,22.740000000000002,0.25362063910876576,0.23076923076923078,0,0,57,0,0,0.23076923076923078,182,2.700000000000001
CUST-1041,2022-01-09,2024-12-27,North West,Manufacturing,Standard,Monthly,Renewal upgrade,81.04,35,282.7,14,2,0,8.0,6,Low usage noted in recent month; customer did not attend webinar.,,,,0,1,1,4,established,20.192857142857143,0.2866643084541918,0.05714285714285714,0,0,65,0,0,0.0,152,4.0
CUST-1042,2022-06-26,2024-12-23,Northern Ireland,Professional Services,Basic,Annual,Sales-led,65.23,30,106.9,7,2,0,4.8,7,,,,,0,6,2,8,established,15.271428571428572,0.6101964452759588,0.06666666666666667,0,0,0,0,0,0.0,182,10.4
CUST-1043,2020-12-24,2024-12-28,Midlands,Professional Services,Standard,Annual,Sales-led,128.07,48,210.2,4,1,0,6.7,1,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,12,4,3,long_term,52.55,0.6092768791627022,0.020833333333333332,0,0,72,1,0,0.0,1,3.3
CUST-1044,2021-02-09,2024-12-14,South East,Professional Services,Basic,Monthly,Partner,43.29,46,189.8,4,2,1,5.5,10,Manager requested renewal details and training resources.,,,,0,2,1,17,long_term,47.45,0.2280821917808219,0.043478260869565216,0,1,57,0,0,0.021739130434782608,274,9.0
CUST-1045,2022-11-29,2024-12-29,Northern Ireland,Technology,Standard,Monthly,Sales-led,83.15,25,220.5,4,2,0,7.7,7,Customer happy with product but needs integration advice.,,,,0,11,4,2,established,55.125,0.37709750566893424,0.08,0,0,57,0,0,0.0,182,4.6
CUST-1046,2021-10-20,2024-12-26,Midlands,Professional Services,Basic,Annual,Self-serve,22.16,38,201.8,3,0,0,8.6,2,Invoice query raised; finance contact requested clarification.,,,,0,10,4,5,long_term,67.26666666666667,0.10981169474727452,0.0,0,0,62,1,0,0.0,32,0.0
CUST-1047,2020-08-03,2024-12-31,North West,Retail,Enterprise,Annual,Partner,346.07,52,175.3,10,1,0,7.2,9,,,,,0,8,3,0,long_term,17.53,1.9741585852823729,0.019230769230769232,0,0,0,0,0,0.0,244,2.8
CUST-1048,2023-05-04,2024-12-21,South East,Professional Services,Standard,Monthly,Self-serve,95.2,19,402.7,17,4,2,8.6,3,Healthy adoption in team; users asked for reporting improvements.,,,,0,5,2,10,established,23.688235294117646,0.2364042711696052,0.21052631578947367,0,0,65,0,0,0.10526315789473684,60,5.600000000000001
CUST-1049,2021-08-11,2024-12-25,Wales,Professional Services,Premium,Monthly,Self-serve,171.18,40,156.1,7,2,0,,10,Healthy adoption in team; users asked for reporting improvements.,,,,0,8,3,6,long_term,22.3,1.096604740550929,0.05,0,0,65,0,0,0.0,274,10.0
CUST-1050,2022-09-02,2024-12-19,London,Manufacturing,Standard,Monthly,Partner,101.66,27,133.7,0,3,0,8.9,12,Low usage noted in recent month; customer did not attend webinar.,,,,0,9,3,12,established,,0.7603590127150337,0.1111111111111111,0,0,65,0,0,0.0,335,3.299999999999999
CUST-1051,2021-05-13,2024-12-30,London,Retail,Basic,Annual,Self-serve,53.74,43,77.9,11,2,0,6.8,11,Low usage noted in recent month; customer did not attend webinar.,competitor,2025-03-12,discount,1,5,2,1,long_term,7.081818181818182,0.6898587933247753,0.046511627906976744,0,0,65,0,0,0.0,305,6.4
CUST-1052,2022-03-29,2024-12-31,London,Education,Premium,Monthly,Sales-led,182.88,33,198.6,4,4,2,10.0,12,Customer mentioned price sensitivity and asked about lower plan options.,low_usage,2025-01-04,none,1,3,1,0,established,49.65,0.9208459214501511,0.12121212121212122,0,0,72,1,0,0.06060606060606061,335,0.0
CUST-1053,2023-02-06,2024-12-17,Midlands,Education,Standard,Annual,Self-serve,95.21,22,376.4,23,3,1,7.1,2,Manager requested renewal details and training resources.,,,,0,2,1,14,established,16.36521739130435,0.2529489904357067,0.13636363636363635,0,0,57,0,0,0.045454545454545456,32,8.700000000000001
CUST-1054,2023-07-16,2024-12-27,Wales,Public Sector,Premium,Monthly,Renewal upgrade,165.78,17,252.3,4,1,0,6.9,3,Multiple support contacts; wants faster response time.,low_usage,2025-02-28,none,1,7,3,4,growing,63.075,0.6570749108204518,0.058823529411764705,0,0,54,0,1,0.0,60,3.0999999999999996
CUST-1055,2020-10-29,2024-12-07,Midlands,Professional Services,Standard,Annual,Self-serve,106.99,50,208.1,5,5,0,5.5,10,Healthy adoption in team; users asked for reporting improvements.,,,,0,10,4,24,long_term,41.62,0.5141278231619414,0.1,0,0,65,0,0,0.0,274,22.5
CUST-1056,2022-09-08,2024-12-19,Midlands,Public Sector,Standard,Monthly,Self-serve,99.15,27,272.5,2,2,0,7.8,5,,,,,0,9,3,12,established,136.25,0.36385321100917434,0.07407407407407407,0,0,0,0,0,0.0,121,4.4
CUST-1057,2023-08-28,2024-12-30,North West,Manufacturing,Premium,Monthly,Sales-led,189.66,16,369.3,16,0,0,6.4,7,Manager requested renewal details and training resources.,,,,0,8,3,1,growing,23.08125,0.5135662063363119,0.0,0,0,57,0,0,0.0,182,0.0
CUST-1058,2022-07-27,2024-12-30,Scotland,Professional Services,Standard,Annual,Sales-led,108.48,29,326.9,9,1,2,8.3,10,Low usage noted in recent month; customer did not attend webinar.,,,,0,7,3,1,established,36.32222222222222,0.3318446007953503,0.034482758620689655,0,0,65,0,0,0.06896551724137931,274,1.6999999999999993
CUST-1059,2020-07-27,2024-12-20,London,Public Sector,Standard,Annual,Sales-led,81.94,53,71.1,0,1,0,4.7,8,Customer happy with product but needs integration advice.,,,,0,7,3,11,long_term,,1.1524613220815754,0.018867924528301886,0,0,57,0,0,0.0,213,5.3
CUST-1060,2020-10-04,2024-12-18,London,Public Sector,Premium,Monthly,Sales-led,161.79,50,314.8,7,1,0,8.8,7,Customer happy with product but needs integration advice.,,,,0,10,4,13,long_term,44.971428571428575,0.5139453621346887,0.02,0,0,57,0,0,0.0,182,1.1999999999999993
CUST-1061,2020-10-23,2024-12-20,Wales,Retail,Premium,Monthly,Renewal upgrade,169.93,50,272.6,14,3,1,5.5,10,,,,,0,10,4,11,long_term,19.47142857142857,0.6233675715333822,0.06,0,1,0,0,0,0.02,274,13.5
CUST-1062,2020-06-04,2024-12-21,North West,Technology,Enterprise,Monthly,Sales-led,336.32,54,164.3,9,7,1,,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,6,2,10,long_term,18.255555555555556,2.0469872185027387,0.12962962962962962,0,0,72,1,0,0.018518518518518517,60,35.0
CUST-1063,2023-01-05,2024-12-10,Scotland,Healthcare,Standard,Monthly,Partner,108.06,23,237.5,17,2,2,8.2,6,Support issue around onboarding and admin setup.,,,,0,1,1,21,established,13.970588235294118,0.45498947368421055,0.08695652173913043,0,0,48,0,1,0.08695652173913043,152,3.6000000000000014
CUST-1064,2023-11-10,2024-12-12,Midlands,Manufacturing,Standard,Monthly,Sales-led,103.22,13,325.4,10,0,1,10.0,5,Invoice query raised; finance contact requested clarification.,,,,0,11,4,19,growing,32.54,0.3172095881991395,0.0,0,0,62,1,0,0.07692307692307693,121,0.0
CUST-1065,2022-01-24,2024-12-26,Wales,Technology,Premium,Annual,Sales-led,192.19,35,185.0,8,4,0,5.6,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,1,1,5,established,23.125,1.0388648648648648,0.11428571428571428,0,0,72,1,0,0.0,60,17.6
CUST-1066,2022-05-24,2024-12-19,Scotland,Healthcare,Standard,Monthly,Self-serve,103.76,31,292.3,7,3,0,,10,Customer happy with product but needs integration advice.,,,,0,5,2,12,established,41.75714285714286,0.3549777625726993,0.0967741935483871,0,0,57,0,0,0.0,274,15.0
CUST-1067,2023-02-03,2024-12-24,Scotland,Public Sector,Premium,Annual,Sales-led,181.5,22,295.3,10,1,0,7.3,11,Low usage noted in recent month; customer did not attend webinar.,,,,0,2,1,7,established,29.53,0.6146291906535726,0.045454545454545456,0,0,65,0,0,0.0,305,2.7
CUST-1068,2021-08-29,2024-12-30,South East,Retail,Standard,Monthly,Partner,113.4,40,27.3,0,2,1,5.5,10,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-31,none,1,8,3,1,long_term,,4.153846153846154,0.05,0,1,72,1,0,0.025,274,9.0
CUST-1069,2021-11-20,2024-12-09,London,Public Sector,Basic,Monthly,Renewal upgrade,54.64,37,139.9,7,0,1,6.6,5,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-02-19,none,1,11,4,22,long_term,19.985714285714288,0.39056468906361685,0.0,0,0,72,1,0,0.02702702702702703,121,0.0
CUST-1070,2022-05-09,2024-12-30,North West,Manufacturing,Premium,Annual,Renewal upgrade,179.82,31,289.5,16,2,0,9.4,9,Multiple support contacts; wants faster response time.,,,,0,5,2,1,established,18.09375,0.621139896373057,0.06451612903225806,0,0,54,0,1,0.0,244,1.1999999999999993
CUST-1071,2021-03-20,2024-12-17,London,Retail,Basic,Monthly,Sales-led,66.77,45,120.9,9,3,0,6.5,9,Customer mentioned price sensitivity and asked about lower plan options.,competitor,2025-03-28,discount,1,3,1,14,long_term,13.433333333333334,0.5522746071133168,0.06666666666666667,0,0,72,1,0,0.0,244,10.5
CUST-1072,2020-03-31,2024-12-30,North West,Healthcare,Basic,Annual,Partner,50.38,57,196.2,4,3,0,10.0,1,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,3,1,1,long_term,49.05,0.2567787971457697,0.05263157894736842,0,0,72,1,0,0.0,1,0.0
CUST-1073,2022-04-08,2024-12-29,Northern Ireland,Retail,Standard,Monthly,Sales-led,95.35,32,176.4,11,5,1,7.2,3,Customer mentioned price sensitivity and asked about lower plan options.,support,2025-01-17,success_call,1,4,2,2,established,16.036363636363635,0.5405328798185941,0.15625,0,0,72,1,0,0.03125,60,14.0
CUST-1074,2023-04-15,2024-12-17,South East,Professional Services,Premium,Annual,Renewal upgrade,168.95,20,685.5,27,4,0,7.7,9,,,,,0,4,2,14,established,25.38888888888889,0.24646243617797226,0.2,0,0,0,0,0,0.0,244,9.2
CUST-1075,2020-04-16,2024-12-28,London,Professional Services,Premium,Annual,Self-serve,187.44,56,206.8,7,1,0,7.5,2,Multiple support contacts; wants faster response time.,,,,0,4,2,3,long_term,29.542857142857144,0.9063829787234042,0.017857142857142856,0,0,54,0,1,0.0,32,2.5
CUST-1076,2020-11-12,2024-12-26,South East,Healthcare,Basic,Annual,Sales-led,63.84,49,107.3,1,4,0,5.7,8,Healthy adoption in team; users asked for reporting improvements.,,,,0,11,4,5,long_term,107.3,0.5949673811742777,0.08163265306122448,1,0,65,0,0,0.0,213,17.2
CUST-1077,2021-01-18,2024-12-24,South East,Professional Services,Basic,Monthly,Sales-led,48.39,47,213.8,6,1,1,9.0,1,Invoice query raised; finance contact requested clarification.,,,,0,1,1,7,long_term,35.63333333333333,0.22633302151543497,0.02127659574468085,0,0,62,1,0,0.02127659574468085,1,1.0
CUST-1078,2023-03-20,2024-11-27,Wales,Professional Services,Enterprise,Monthly,Sales-led,364.69,21,223.8,16,1,1,5.3,12,Customer happy with product but needs integration advice.,price,2025-01-20,success_call,1,3,1,34,established,13.9875,1.6295352993744414,0.047619047619047616,0,1,57,0,0,0.047619047619047616,335,4.7
CUST-1079,2022-01-06,2024-12-30,Scotland,Public Sector,Basic,Monthly,Sales-led,25.36,35,136.0,7,3,0,5.3,8,Healthy adoption in team; users asked for reporting improvements.,,,,0,1,1,1,established,19.428571428571427,0.1864705882352941,0.08571428571428572,0,1,65,0,0,0.0,213,14.100000000000001
CUST-1080,2022-02-19,2024-12-29,Midlands,Manufacturing,Basic,Annual,Renewal upgrade,48.33,34,150.6,7,1,0,7.0,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,2,1,2,established,21.514285714285712,0.3209163346613546,0.029411764705882353,0,0,72,1,0,0.0,305,3.0
CUST-1081,2022-07-31,2024-12-25,Wales,Public Sector,Standard,Monthly,Partner,98.52,29,277.3,10,2,0,9.1,11,Manager requested renewal details and training resources.,,,,0,7,3,6,established,27.73,0.3552830869094843,0.06896551724137931,0,0,57,0,0,0.0,305,1.8000000000000007
CUST-1082,2021-02-07,2024-12-29,North West,Retail,Standard,Monthly,Renewal upgrade,90.28,46,104.5,14,1,1,9.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,2,1,2,long_term,7.464285714285714,0.8639234449760765,0.021739130434782608,0,0,72,1,0,0.021739130434782608,305,0.8000000000000007
CUST-1083,2022-11-07,2024-12-28,Midlands,Technology,Premium,Monthly,Sales-led,207.61,25,335.8,19,2,1,10.0,8,,,,,0,11,4,3,established,17.673684210526318,0.6182549136390709,0.08,0,0,0,0,0,0.04,213,0.0
CUST-1084,2020-02-14,2024-12-31,London,Education,Premium,Monthly,Self-serve,178.21,58,283.7,8,0,0,9.4,10,Manager requested renewal details and training resources.,,,,0,2,1,0,long_term,35.4625,0.6281635530489955,0.0,0,0,57,0,0,0.0,274,0.0
CUST-1085,2020-06-15,2024-12-30,London,Professional Services,Premium,Monthly,Sales-led,174.11,54,496.1,19,1,2,8.4,8,Invoice query raised; finance contact requested clarification.,,,,0,6,2,1,long_term,26.110526315789475,0.3509574682523685,0.018518518518518517,0,0,62,1,0,0.037037037037037035,213,1.5999999999999996
CUST-1086,2023-04-06,2024-12-22,London,Professional Services,Basic,Monthly,Self-serve,49.31,20,156.7,5,1,1,8.7,11,Multiple support contacts; wants faster response time.,,,,0,4,2,9,established,31.339999999999996,0.31467772814294837,0.05,0,0,54,0,1,0.05,305,1.3000000000000007
CUST-1087,2022-08-18,2024-12-19,Midlands,Manufacturing,Standard,Monthly,Sales-led,74.97,28,108.8,5,2,0,5.7,5,Customer happy with product but needs integration advice.,,,,0,8,3,12,established,21.759999999999998,0.6890625,0.07142857142857142,0,1,57,0,0,0.0,121,8.6
CUST-1088,2020-09-14,2024-12-27,North West,Professional Services,Standard,Annual,Sales-led,89.88,51,243.2,7,4,0,4.7,12,Support issue around onboarding and admin setup.,,,,0,9,3,4,long_term,34.74285714285714,0.3695723684210526,0.0784313725490196,0,0,48,0,1,0.0,335,21.2
CUST-1089,2021-10-02,2024-12-27,London,Education,Basic,Monthly,Self-serve,60.8,38,167.5,8,3,1,7.7,8,Support issue around onboarding and admin setup.,,,,0,10,4,4,long_term,20.9375,0.36298507462686563,0.07894736842105263,0,0,48,0,1,0.02631578947368421,213,6.8999999999999995
CUST-1090,2020-03-16,2024-12-31,North West,Technology,Basic,Monthly,Sales-led,41.45,57,254.5,16,1,2,6.1,2,Low usage noted in recent month; customer did not attend webinar.,,,,0,3,1,0,long_term,15.90625,0.16286836935166996,0.017543859649122806,0,0,65,0,0,0.03508771929824561,32,3.9000000000000004
CUST-1091,2022-09-07,2024-12-15,London,Professional Services,Standard,Annual,Self-serve,89.05,27,125.8,0,4,0,6.9,4,Healthy adoption in team; users asked for reporting improvements.,,,,0,9,3,16,established,,0.7078696343402225,0.14814814814814814,0,0,65,0,0,0.0,91,12.399999999999999
