request_id,service_area,channel,customer_tier,initial_priority,request_age_hours,updates_count,past_breaches_90d,team_capacity_pct,sentiment_score,complexity_score,assigned_team_size,weekday,sla_breach,final_resolution_hours_POST_OUTCOME_EXCLUDE,actual_breach_reason_POST_OUTCOME_EXCLUDE,escalation_after_outcome_EXCLUDE
REQ-100090,IT Support,Portal,Standard,Standard,8.0,4,0,72.3,-0.43,4,13,Wed,0,27.9,none,no
REQ-100091,Facilities,Portal,Standard,Standard,57.6,1,0,92.5,0.31,1,17,Fri,0,95.9,none,no
REQ-100092,Finance Ops,Chat,Standard,Standard,11.6,1,1,70.2,0.14,1,12,Fri,0,23.8,none,no
REQ-100093,HR Services,Email,Priority,Standard,23.8,2,1,85.4,1.6,1,5,Wed,0,55.7,none,no
REQ-100094,HR Services,Portal,Standard,Urgent,3.6,4,2,82.1,0.33,1,7,Mon,0,10.3,none,no
REQ-100095,Facilities,Chat,Standard,Standard,10.4,3,0,59.8,0.86,5,5,Tue,0,16.2,none,no
REQ-100096,HR Services,Chat,Priority,Urgent,29.8,3,1,84.7,-0.8,4,7,Thu,1,60.5,capacity,yes
REQ-100097,IT Support,Email,Priority,Standard,24.6,1,0,59.6,0.39,4,16,Mon,0,42.1,none,no
REQ-100098,IT Support,Email,Priority,,11.4,4,1,86.2,-0.54,4,5,Wed,0,24.6,none,no
REQ-100099,Compliance,Portal,Standard,Standard,16.3,5,0,71.4,0.3,1,16,Wed,0,77.6,none,no
REQ-100100,Compliance,Portal,Priority,Standard,9.6,0,1,78.1,0.52,2,7,Fri,0,16.6,none,no
REQ-100101,Facilities,Email,Standard,Urgent,29.7,2,0,61.2,0.04,4,10,Fri,1,71.9,late_response,yes
REQ-100102,HR Services,Portal,Standard,Standard,38.1,3,0,79.6,1.81,3,10,Thu,0,44.0,none,no
REQ-100103,Compliance,Email,Standard,Low,8.1,0,0,90.1,1.07,3,4,Tue,0,26.6,none,no
REQ-100104,Customer Care,Phone,Standard,,15.1,3,0,67.5,0.88,4,5,Mon,0,26.9,none,no
REQ-100105,Facilities,Portal,Standard,Low,4.5,2,0,70.1,0.57,1,7,Thu,0,18.4,none,no
REQ-100106,Finance Ops,Email,Standard,Standard,18.1,5,2,83.9,1.32,4,3,Mon,0,34.1,none,no
REQ-100107,HR Services,Portal,Priority,Standard,22.1,5,0,84.2,-1.08,4,14,Wed,0,34.3,none,no
REQ-100108,IT Support,Chat,Standard,Standard,19.2,3,1,46.4,1.03,3,11,Fri,0,29.6,none,no
REQ-100109,Compliance,Portal,Standard,Urgent,20.9,3,0,100.0,-0.74,3,15,Wed,0,22.7,none,no
REQ-100110,Finance Ops,Email,Standard,Standard,13.9,1,1,84.9,-0.42,1,15,Thu,0,36.0,none,no
REQ-100111,IT Support,Email,Standard,Standard,14.2,1,3,87.1,0.42,2,8,Thu,0,17.7,none,no
REQ-100112,HR Services,Portal,Standard,Standard,13.7,1,0,76.1,0.92,2,15,Fri,0,22.1,none,no
REQ-100113,Finance Ops,Email,Standard,Urgent,10.2,7,0,53.9,-0.87,5,3,Wed,0,24.8,none,no
REQ-100114,IT Support,Phone,Standard,Urgent,11.2,3,3,,-0.38,1,9,Wed,0,15.5,none,no
REQ-100115,Customer Care,Email,Priority,,21.4,0,1,70.7,0.07,2,12,Mon,0,31.8,none,no
REQ-100116,Customer Care,Phone,Strategic,Standard,36.5,3,1,85.1,-0.14,1,9,Wed,0,56.9,none,no
REQ-100117,Facilities,Chat,Standard,Low,6.9,4,0,75.2,0.64,2,14,Tue,0,15.1,none,no
REQ-100118,Finance Ops,Portal,Priority,Urgent,14.1,1,0,81.1,2.0,1,15,Wed,0,24.7,none,no
REQ-100119,Facilities,Email,Priority,Standard,5.6,5,1,67.9,0.31,2,9,Thu,0,10.7,none,no
REQ-100120,Facilities,Portal,Strategic,,10.3,5,0,89.2,-0.55,4,7,Mon,0,19.4,none,no
REQ-100121,Facilities,Phone,Standard,Low,11.7,0,0,62.6,-0.97,4,11,Wed,0,15.4,none,no
REQ-100122,IT Support,Email,Strategic,Standard,17.2,3,0,100.0,-0.24,2,16,Mon,0,30.6,none,no
REQ-100123,Finance Ops,Portal,Strategic,Standard,16.9,4,1,100.0,-0.71,4,17,Tue,0,19.7,none,no
REQ-100124,IT Support,Portal,Priority,Low,15.0,2,0,99.2,0.35,4,15,Mon,0,21.8,none,no
REQ-100125,Finance Ops,Chat,Standard,Low,20.2,6,1,94.6,0.34,5,6,Mon,0,32.1,none,no
REQ-100126,HR Services,Portal,Standard,Urgent,7.5,2,0,76.9,-0.35,5,6,Fri,0,17.3,none,no
REQ-100127,IT Support,Email,Standard,Standard,17.3,1,0,93.2,1.49,2,11,Fri,0,32.6,none,no
REQ-100128,IT Support,Portal,Standard,Low,25.0,3,0,76.7,-0.55,3,9,Thu,0,35.6,none,no
REQ-100129,Facilities,Chat,Standard,Low,7.4,2,0,57.8,-0.09,4,12,Wed,0,9.2,none,no
REQ-100130,IT Support,Portal,Standard,Urgent,2.9,3,0,97.5,0.48,2,16,Thu,0,7.1,none,no
REQ-100131,Compliance,Portal,Standard,Standard,29.6,3,0,92.7,0.67,3,11,Fri,0,41.1,none,no
REQ-100132,Facilities,Chat,Standard,Standard,5.8,3,3,77.6,0.96,3,8,Wed,0,30.0,none,no
REQ-100133,HR Services,Chat,Priority,Low,9.9,3,0,62.1,0.32,2,16,Mon,0,31.2,none,no
REQ-100134,Facilities,Portal,Standard,,24.6,3,2,70.4,0.79,1,9,Thu,0,84.9,none,no
REQ-100135,IT Support,Email,Standard,Low,7.1,3,0,54.3,-0.5,1,12,Fri,0,14.6,none,no
REQ-100136,Compliance,Phone,Priority,Standard,28.2,4,0,90.3,0.69,4,5,Tue,0,48.1,none,no
REQ-100137,Finance Ops,Chat,Priority,Low,8.8,3,1,57.2,0.68,5,10,Wed,0,27.7,none,no
REQ-100138,Customer Care,Portal,Strategic,Low,7.9,3,0,81.7,1.13,4,9,Tue,0,40.6,none,no
REQ-100139,IT Support,Email,Priority,Standard,5.7,4,2,67.0,-1.25,2,4,Tue,0,32.6,none,no
REQ-100140,Finance Ops,Phone,Strategic,Urgent,8.8,3,0,59.5,-0.68,1,6,Thu,1,38.5,late_response,no
REQ-100141,Finance Ops,Phone,Standard,Standard,22.4,3,2,81.1,0.62,4,13,Tue,0,40.0,none,no
REQ-100142,Compliance,Phone,Standard,Standard,9.9,5,1,73.7,-1.99,1,5,Fri,0,25.2,none,no
REQ-100143,Finance Ops,Email,Standard,Standard,29.6,4,1,88.9,0.37,3,4,Thu,0,40.8,none,no
REQ-100144,Finance Ops,Portal,Standard,Standard,15.4,2,1,61.5,0.79,5,3,Mon,0,32.2,none,no
REQ-100145,HR Services,Chat,Strategic,Low,16.4,4,0,68.2,-0.43,1,3,Fri,0,29.5,none,no
REQ-100146,HR Services,Chat,Standard,Standard,7.7,5,0,47.0,-0.32,3,9,Thu,0,20.4,none,no
REQ-100147,Finance Ops,Phone,Standard,Standard,32.5,3,0,49.6,-0.81,5,10,Wed,1,84.2,late_response,yes
REQ-100148,Finance Ops,Portal,Standard,Standard,25.2,3,0,100.0,-0.39,2,12,Wed,0,39.5,none,no
REQ-100149,IT Support,Portal,Standard,Urgent,24.7,5,0,100.0,-0.37,5,11,Fri,0,37.0,none,no
REQ-100150,Customer Care,Phone,Standard,Urgent,13.3,3,1,79.2,-0.51,5,11,Wed,1,46.2,late_response,yes
REQ-100151,Customer Care,Portal,Standard,Low,5.0,1,1,67.3,-0.55,3,17,Mon,0,14.4,none,no
REQ-100152,IT Support,Chat,Strategic,Standard,17.1,8,2,74.1,-0.2,2,6,Tue,0,21.1,none,no
REQ-100153,Finance Ops,Portal,Standard,Low,21.7,3,1,89.4,-0.21,4,13,Tue,0,32.9,none,no
REQ-100154,IT Support,Phone,Priority,Standard,21.9,2,0,71.3,1.41,4,4,Thu,0,46.9,none,no
REQ-100155,Facilities,Chat,,Low,19.9,2,0,81.1,-0.3,3,15,Mon,0,27.3,none,no
REQ-100156,HR Services,Portal,Standard,Low,19.3,2,0,77.8,0.26,1,8,Thu,0,20.4,none,no
REQ-100157,Facilities,Portal,Standard,Standard,8.7,1,0,70.6,-0.43,4,8,Wed,0,25.0,none,no
REQ-100158,Customer Care,Email,Priority,Standard,9.1,2,0,71.2,-0.44,2,5,Fri,0,22.6,none,no
REQ-100159,Customer Care,Email,Standard,Urgent,5.7,2,0,81.8,-1.28,1,10,Wed,0,39.1,none,no
REQ-100160,IT Support,Portal,Strategic,Low,29.9,4,3,65.3,-1.18,1,8,Fri,0,36.5,none,no
REQ-100161,Compliance,Email,Standard,Low,48.5,4,0,83.9,-0.91,3,17,Fri,0,52.1,none,no
REQ-100162,IT Support,Chat,Priority,Standard,78.6,2,0,71.9,,1,5,Mon,0,88.3,none,no
REQ-100163,IT Support,Email,Priority,Low,17.9,2,1,79.7,0.81,2,9,Thu,0,26.4,none,no
REQ-100164,Finance Ops,Portal,Standard,Low,19.4,2,0,96.0,-1.34,2,16,Mon,0,21.7,none,no
REQ-100165,HR Services,Portal,Standard,Urgent,13.7,4,0,75.8,-0.41,3,15,Fri,0,26.1,none,no
REQ-100166,Customer Care,Portal,Strategic,Low,17.7,2,0,90.0,-1.03,4,14,Thu,0,25.6,none,no
REQ-100167,Customer Care,Portal,Standard,Low,7.0,4,0,54.7,-0.2,3,10,Tue,0,36.3,none,no
REQ-100168,HR Services,Portal,,Standard,13.5,0,0,71.9,,3,16,Tue,0,26.0,none,no
REQ-100169,Compliance,Email,Standard,Standard,8.0,5,0,78.4,-0.34,1,6,Wed,0,13.9,none,no
REQ-100170,HR Services,Portal,Standard,,12.2,3,2,100.0,-0.04,1,15,Thu,0,23.6,none,no
REQ-100171,Finance Ops,Chat,Priority,Standard,8.5,3,2,52.5,1.09,5,11,Thu,0,21.8,none,no
REQ-100172,HR Services,Portal,Priority,Standard,21.7,7,1,76.7,0.34,4,8,Mon,0,39.2,none,no
REQ-100173,Compliance,Portal,Standard,Low,23.6,2,1,96.9,-0.57,1,6,Tue,0,35.4,none,no
REQ-100174,IT Support,Phone,Priority,Standard,19.0,0,2,67.8,0.12,3,10,Wed,0,61.3,none,no
REQ-100175,IT Support,Chat,Standard,Standard,9.1,1,0,75.2,-0.62,1,3,Wed,0,13.1,none,no
REQ-100176,Finance Ops,Portal,Standard,Urgent,5.3,4,0,82.3,0.32,1,13,Mon,0,13.2,none,no
REQ-100177,Compliance,Portal,Standard,Standard,23.8,3,1,80.4,0.39,2,6,Tue,0,29.8,none,no
REQ-100178,Customer Care,Portal,Strategic,Standard,15.4,2,0,98.4,-1.03,4,8,Fri,0,24.2,none,no
REQ-100179,Customer Care,Email,Standard,Low,2.8,3,1,83.8,0.13,4,5,Wed,1,48.4,capacity,no
REQ-100180,Customer Care,Email,Standard,Low,17.0,4,0,95.3,-0.09,4,9,Thu,0,30.7,none,no
REQ-100181,Customer Care,Portal,Standard,Low,19.5,4,0,73.3,0.41,1,8,Wed,0,36.6,none,no
REQ-100182,Finance Ops,Portal,Priority,Standard,3.8,1,1,68.4,0.62,1,5,Wed,0,16.2,none,no
REQ-100183,HR Services,Email,Standard,Low,22.0,1,0,75.1,0.36,3,16,Thu,0,35.0,none,no
REQ-100184,Customer Care,Chat,Standard,Standard,4.4,3,0,62.9,-0.23,5,14,Tue,0,17.0,none,no
REQ-100185,Facilities,Email,Priority,,8.3,2,1,84.3,0.7,4,8,Tue,0,16.5,none,no
REQ-100186,HR Services,Email,Standard,Urgent,4.4,2,2,73.0,-0.65,4,3,Fri,1,27.1,handoff,yes
REQ-100187,IT Support,Portal,Standard,Urgent,7.6,4,0,,-0.99,1,15,Fri,0,13.5,none,no
REQ-100188,Customer Care,Portal,Standard,Low,5.4,2,1,84.5,-2.2,5,13,Thu,0,23.2,none,no
REQ-100189,HR Services,Portal,Standard,Low,29.7,2,0,63.1,-0.05,5,11,Mon,0,31.1,none,no
REQ-100190,Compliance,Phone,Standard,,12.8,5,0,88.0,-0.62,3,12,Mon,0,25.6,none,no
REQ-100191,HR Services,Chat,Priority,Urgent,10.8,3,0,71.8,0.3,2,3,Mon,0,31.0,none,no
REQ-100192,IT Support,Chat,Priority,Low,31.6,7,3,93.1,-1.48,4,10,Fri,0,55.5,none,no
REQ-100193,Customer Care,Chat,Priority,Standard,30.6,0,2,72.9,-0.49,4,5,Fri,1,47.7,capacity,yes
REQ-100194,IT Support,Chat,Strategic,Standard,11.5,3,1,86.2,,5,12,Wed,0,19.9,none,no
REQ-100195,IT Support,Chat,Standard,Standard,18.7,3,0,80.3,-0.77,1,16,Fri,0,24.9,none,no
REQ-100196,Facilities,Portal,Standard,Standard,9.7,4,1,87.7,,3,10,Mon,0,17.5,none,no
REQ-100197,Customer Care,Portal,Strategic,Standard,14.3,2,0,,-0.42,4,12,Wed,0,41.6,none,no
REQ-100198,IT Support,Portal,Standard,Urgent,6.3,3,0,56.4,-0.02,2,13,Mon,1,20.6,complexity,yes
REQ-100199,HR Services,Email,Priority,Low,20.6,2,1,91.1,,5,16,Tue,0,40.7,none,no
REQ-100200,Customer Care,Portal,Priority,Urgent,32.4,4,3,76.9,0.71,1,3,Fri,0,45.3,none,no
REQ-100201,Compliance,Phone,Standard,Low,28.8,1,1,88.3,0.07,1,7,Fri,0,36.3,none,no
REQ-100202,Finance Ops,Email,Standard,Standard,15.9,3,0,87.0,-0.61,4,7,Mon,0,22.8,none,no
REQ-100203,IT Support,Email,Standard,,2.5,0,2,67.9,-0.34,1,13,Tue,0,16.4,none,no
REQ-100204,IT Support,Portal,Standard,Standard,9.4,4,2,66.1,0.48,3,9,Wed,0,20.2,none,no
REQ-100205,IT Support,Portal,Standard,Standard,14.3,6,0,86.5,-0.77,2,14,Mon,0,16.4,none,no
REQ-100206,IT Support,Portal,Standard,Low,4.8,2,0,74.1,-0.13,4,10,Wed,0,9.8,none,no
REQ-100207,Facilities,Chat,Priority,Standard,4.0,1,0,90.2,-0.29,1,17,Wed,0,18.2,none,no
REQ-100208,IT Support,Email,Strategic,Standard,38.3,0,0,75.7,-0.08,2,14,Tue,0,42.0,none,no
REQ-100209,Finance Ops,Phone,Priority,Standard,26.6,3,0,91.3,-0.76,5,3,Tue,0,48.7,none,no
REQ-100210,Facilities,Portal,Standard,Standard,21.7,3,0,83.5,-1.39,2,17,Tue,0,24.5,none,no
REQ-100211,Facilities,Portal,Standard,Low,24.6,4,0,81.7,0.39,3,17,Fri,0,33.9,none,no
REQ-100212,IT Support,Portal,Standard,Low,5.6,4,2,73.1,0.72,5,3,Tue,0,23.7,none,no
REQ-100213,Customer Care,Phone,Standard,Low,7.4,1,0,81.0,-1.34,4,8,Wed,0,12.1,none,no
REQ-100214,Facilities,Phone,Strategic,Standard,17.9,1,0,93.5,0.28,4,17,Tue,0,21.5,none,no
REQ-100215,Customer Care,Portal,Standard,Low,18.9,4,0,77.3,0.81,5,15,Thu,0,34.8,none,no
REQ-100216,IT Support,Chat,Standard,Urgent,4.5,1,0,84.9,0.45,4,10,Mon,0,25.1,none,no
REQ-100217,IT Support,Portal,Priority,Standard,17.1,1,0,78.6,-0.31,5,11,Mon,0,26.9,none,no
REQ-100218,Compliance,Chat,Standard,Low,14.4,5,0,79.6,-0.71,3,3,Thu,0,22.6,none,no
REQ-100219,HR Services,Portal,Standard,Standard,28.2,6,1,100.0,0.06,5,11,Thu,0,30.8,none,no
REQ-100220,HR Services,Portal,Standard,Urgent,19.0,1,1,93.6,0.19,4,12,Tue,0,31.1,none,no
REQ-100221,Finance Ops,Phone,Priority,Low,41.1,2,0,,0.07,2,8,Tue,0,42.9,none,no
REQ-100222,Facilities,Portal,Priority,Low,11.5,0,1,80.8,-0.14,3,7,Fri,0,39.1,none,no
REQ-100223,Compliance,Portal,Standard,Low,5.9,1,2,68.9,-0.81,2,15,Mon,0,16.1,none,no
REQ-100224,HR Services,Portal,Strategic,Low,40.4,1,0,75.8,0.32,2,9,Mon,0,45.5,none,no
REQ-100225,Compliance,Portal,Priority,Standard,19.7,4,1,82.0,0.35,2,6,Wed,0,26.5,none,no
REQ-100226,IT Support,Phone,Priority,Urgent,14.5,2,0,89.1,0.15,3,8,Tue,0,27.3,none,no
REQ-100227,Finance Ops,Chat,Standard,Low,7.7,1,0,87.7,,2,10,Thu,0,15.5,none,no
REQ-100228,Facilities,Chat,Standard,Standard,11.6,2,2,63.6,1.26,4,6,Thu,0,22.9,none,no
REQ-100229,IT Support,Portal,Priority,Low,11.2,1,0,90.7,-0.47,2,11,Wed,0,15.6,none,no
REQ-100230,IT Support,Email,Standard,Standard,5.7,2,2,76.8,0.96,3,15,Wed,0,29.9,none,no
REQ-100231,Finance Ops,Portal,Standard,Standard,1.7,1,0,65.2,,1,14,Wed,0,8.7,none,no
REQ-100232,Compliance,Portal,Priority,Standard,11.0,6,3,95.4,0.83,2,6,Thu,0,12.2,none,no
REQ-100233,Facilities,Portal,Standard,Low,25.0,1,0,97.0,0.93,2,10,Mon,0,33.4,none,no
